shapeID,date,t,cohort,first_treat_t,rel_time,treat_now,log_avg_rad
UNIT-02,2023-08-01,20,2024-01,25,-5,0,2.6747
UNIT-02,2023-09-01,21,2024-01,25,-4,0,2.6976
UNIT-02,2023-10-01,22,2024-01,25,-3,0,2.6443
UNIT-02,2023-11-01,23,2024-01,25,-2,0,2.6557
UNIT-02,2023-12-01,24,2024-01,25,-1,0,2.6185
UNIT-02,2024-01-01,25,2024-01,25,0,1,2.6713
UNIT-02,2024-02-01,26,2024-01,25,1,1,2.7356
UNIT-02,2024-03-01,27,2024-01,25,2,1,2.6897
UNIT-02,2024-04-01,28,2024-01,25,3,1,2.7306
UNIT-02,2024-05-01,29,2024-01,25,4,1,2.7101
UNIT-02,2024-06-01,30,2024-01,25,5,1,2.7057
UNIT-02,2024-07-01,31,2024-01,25,6,1,2.6989
UNIT-02,2024-08-01,32,2024-01,25,7,1,2.7652
UNIT-02,2024-09-01,33,2024-01,25,8,1,2.7688
UNIT-02,2024-10-01,34,2024-01,25,9,1,2.7035
UNIT-02,2024-11-01,35,2024-01,25,10,1,2.7493
UNIT-02,2024-12-01,36,2024-01,25,11,1,2.7238
UNIT-02,2025-01-01,37,2024-01,25,12,1,2.7517
UNIT-02,2025-02-01,38,2024-01,25,13,1,2.7837
UNIT-02,2025-03-01,39,2024-01,25,14,1,2.7383
UNIT-02,2025-04-01,40,2024-01,25,15,1,2.759
UNIT-02,2025-05-01,41,2024-01,25,16,1,2.7067
UNIT-02,2025-06-01,42,2024-01,25,17,1,2.7486
UNIT-02,2025-07-01,43,2024-01,25,18,1,2.7788
UNIT-02,2025-08-01,44,2024-01,25,19,1,2.8022
UNIT-02,2025-09-01,45,2024-01,25,20,1,2.8214
UNIT-02,2025-10-01,46,2024-01,25,21,1,2.7233
UNIT-02,2025-11-01,47,2024-01,25,22,1,2.7854
UNIT-02,2025-12-01,48,2024-01,25,23,1,2.7665
UNIT-03,2022-01-01,1,2023-01,13,-12,0,2.7591
UNIT-03,2022-02-01,2,2023-01,13,-11,0,2.7168
UNIT-03,2022-03-01,3,2023-01,13,-10,0,2.7622
UNIT-03,2022-04-01,4,2023-01,13,-9,0,2.7498
UNIT-03,2022-05-01,5,2023-01,13,-8,0,2.7909
UNIT-03,2022-06-01,6,2023-01,13,-7,0,2.731
UNIT-03,2022-07-01,7,2023-01,13,-6,0,2.7758
UNIT-03,2022-08-01,8,2023-01,13,-5,0,2.7953
UNIT-03,2022-09-01,9,2023-01,13,-4,0,2.7248
UNIT-03,2022-10-01,10,2023-01,13,-3,0,2.8141
UNIT-03,2022-11-01,11,2023-01,13,-2,0,2.7818
UNIT-03,2022-12-01,12,2023-01,13,-1,0,2.7863
UNIT-03,2023-01-01,13,2023-01,13,0,1,2.8123
UNIT-03,2023-02-01,14,2023-01,13,1,1,2.7944
UNIT-03,2023-03-01,15,2023-01,13,2,1,2.8649
UNIT-03,2023-04-01,16,2023-01,13,3,1,2.8294
UNIT-03,2023-05-01,17,2023-01,13,4,1,2.9107
UNIT-03,2023-06-01,18,2023-01,13,5,1,2.8965
UNIT-03,2023-07-01,19,2023-01,13,6,1,2.816
UNIT-03,2023-08-01,20,2023-01,13,7,1,2.8626
UNIT-03,2023-09-01,21,2023-01,13,8,1,2.8522
UNIT-03,2023-10-01,22,2023-01,13,9,1,2.9053
UNIT-03,2023-11-01,23,2023-01,13,10,1,2.8715
UNIT-03,2023-12-01,24,2023-01,13,11,1,2.9151
UNIT-03,2024-01-01,25,2023-01,13,12,1,2.9443
UNIT-03,2024-02-01,26,2023-01,13,13,1,2.8842
UNIT-03,2024-03-01,27,2023-01,13,14,1,2.8646
UNIT-03,2024-04-01,28,2023-01,13,15,1,2.8863
UNIT-03,2024-05-01,29,2023-01,13,16,1,2.8849
UNIT-03,2024-06-01,30,2023-01,13,17,1,2.8632
UNIT-03,2024-07-01,31,2023-01,13,18,1,2.9586
UNIT-03,2024-08-01,32,2023-01,13,19,1,2.9238
UNIT-03,2024-09-01,33,2023-01,13,20,1,2.9024
UNIT-03,2024-10-01,34,2023-01,13,21,1,2.8989
UNIT-03,2024-11-01,35,2023-01,13,22,1,2.9377
UNIT-03,2024-12-01,36,2023-01,13,23,1,2.8252
UNIT-03,2025-01-01,37,2023-01,13,24,1,2.9173
UNIT-03,2025-02-01,38,2023-01,13,25,1,2.9258
UNIT-03,2025-03-01,39,2023-01,13,26,1,2.9748
UNIT-03,2025-04-01,40,2023-01,13,27,1,2.9498
UNIT-03,2025-05-01,41,2023-01,13,28,1,2.9438
UNIT-03,2025-06-01,42,2023-01,13,29,1,2.8998
UNIT-03,2025-07-01,43,2023-01,13,30,1,2.9414
UNIT-03,2025-08-01,44,2023-01,13,31,1,2.99
UNIT-03,2025-09-01,45,2023-01,13,32,1,2.9649
UNIT-03,2025-10-01,46,2023-01,13,33,1,2.9699
UNIT-03,2025-11-01,47,2023-01,13,34,1,2.9606
UNIT-03,2025-12-01,48,2023-01,13,35,1,2.9173
UNIT-04,2022-01-01,1,2023-01,13,-12,0,2.0424
UNIT-04,2022-02-01,2,2023-01,13,-11,0,2.0486
UNIT-04,2022-03-01,3,2023-01,13,-10,0,2.0551
UNIT-04,2022-04-01,4,2023-01,13,-9,0,2.0997
UNIT-04,2022-05-01,5,2023-01,13,-8,0,2.0426
UNIT-04,2022-06-01,6,2023-01,13,-7,0,2.0362
UNIT-04,2022-07-01,7,2023-01,13,-6,0,2.0228
UNIT-04,2022-08-01,8,2023-01,13,-5,0,2.0696
UNIT-04,2022-09-01,9,2023-01,13,-4,0,2.104
UNIT-04,2022-10-01,10,2023-01,13,-3,0,2.1016
UNIT-04,2022-11-01,11,2023-01,13,-2,0,2.1277
UNIT-04,2022-12-01,12,2023-01,13,-1,0,2.0651
UNIT-04,2023-01-01,13,2023-01,13,0,1,2.0865
UNIT-04,2023-02-01,14,2023-01,13,1,1,2.0905
UNIT-04,2023-03-01,15,2023-01,13,2,1,2.1434
UNIT-04,2023-04-01,16,2023-01,13,3,1,2.219
UNIT-04,2023-05-01,17,2023-01,13,4,1,2.2206
UNIT-04,2023-06-01,18,2023-01,13,5,1,2.2141
UNIT-04,2023-07-01,19,2023-01,13,6,1,2.18
UNIT-04,2023-08-01,20,2023-01,13,7,1,2.2026
UNIT-04,2023-09-01,21,2023-01,13,8,1,2.1875
UNIT-04,2023-10-01,22,2023-01,13,9,1,2.1591
UNIT-04,2023-11-01,23,2023-01,13,10,1,2.1797
UNIT-04,2023-12-01,24,2023-01,13,11,1,2.2022
UNIT-04,2024-01-01,25,2023-01,13,12,1,2.1819
UNIT-04,2024-02-01,26,2023-01,13,13,1,2.1922
UNIT-04,2024-03-01,27,2023-01,13,14,1,2.1563
UNIT-04,2024-04-01,28,2023-01,13,15,1,2.1936
UNIT-04,2024-05-01,29,2023-01,13,16,1,2.2042
UNIT-04,2024-06-01,30,2023-01,13,17,1,2.2111
UNIT-04,2024-07-01,31,2023-01,13,18,1,2.2344
UNIT-04,2024-08-01,32,2023-01,13,19,1,2.2175
UNIT-04,2024-09-01,33,2023-01,13,20,1,2.2138
UNIT-04,2024-10-01,34,2023-01,13,21,1,2.2414
UNIT-04,2024-11-01,35,2023-01,13,22,1,2.2181
UNIT-04,2024-12-01,36,2023-01,13,23,1,2.2193
UNIT-04,2025-01-01,37,2023-01,13,24,1,2.2085
UNIT-04,2025-02-01,38,2023-01,13,25,1,2.2131
UNIT-04,2025-03-01,39,2023-01,13,26,1,2.228
UNIT-04,2025-04-01,40,2023-01,13,27,1,2.2069
UNIT-04,2025-05-01,41,2023-01,13,28,1,2.2128
UNIT-04,2025-06-01,42,2023-01,13,29,1,2.2482
UNIT-04,2025-07-01,43,2023-01,13,30,1,2.3476
UNIT-04,2025-08-01,44,2023-01,13,31,1,2.2491
UNIT-04,2025-09-01,45,2023-01,13,32,1,2.2735
UNIT-04,2025-10-01,46,2023-01,13,33,1,2.252
UNIT-04,2025-11-01,47,2023-01,13,34,1,2.2583
UNIT-04,2025-12-01,48,2023-01,13,35,1,2.2663
UNIT-05,2022-01-01,1,2024-01,25,-24,0,1.726
UNIT-05,2022-02-01,2,2024-01,25,-23,0,1.7444
UNIT-05,2022-03-01,3,2024-01,25,-22,0,1.7307
UNIT-05,2022-04-01,4,2024-01,25,-21,0,1.7738
UNIT-05,2022-05-01,5,2024-01,25,-20,0,1.7249
UNIT-05,2022-06-01,6,2024-01,25,-19,0,1.7109
UNIT-05,2022-07-01,7,2024-01,25,-18,0,1.7985
UNIT-05,2022-08-01,8,2024-01,25,-17,0,1.7598
UNIT-05,2022-09-01,9,2024-01,25,-16,0,1.8014
UNIT-05,2022-10-01,10,2024-01,25,-15,0,1.7968
UNIT-05,2022-11-01,11,2024-01,25,-14,0,1.6915
UNIT-05,2022-12-01,12,2024-01,25,-13,0,1.7548
UNIT-05,2023-01-01,13,2024-01,25,-12,0,1.7596
UNIT-05,2023-02-01,14,2024-01,25,-11,0,1.7091
UNIT-05,2023-03-01,15,2024-01,25,-10,0,1.7303
UNIT-05,2023-04-01,16,2024-01,25,-9,0,1.8119
UNIT-05,2023-05-01,17,2024-01,25,-8,0,1.721
UNIT-05,2023-06-01,18,2024-01,25,-7,0,1.7268
UNIT-05,2023-07-01,19,2024-01,25,-6,0,1.7978
UNIT-05,2023-08-01,20,2024-01,25,-5,0,1.819
UNIT-05,2023-09-01,21,2024-01,25,-4,0,1.7636
UNIT-05,2023-10-01,22,2024-01,25,-3,0,1.7936
UNIT-05,2023-11-01,23,2024-01,25,-2,0,1.8176
UNIT-05,2023-12-01,24,2024-01,25,-1,0,1.7428
UNIT-05,2024-01-01,25,2024-01,25,0,1,1.8369
UNIT-05,2024-02-01,26,2024-01,25,1,1,1.7823
UNIT-05,2024-03-01,27,2024-01,25,2,1,1.8257
UNIT-05,2024-04-01,28,2024-01,25,3,1,1.8534
UNIT-05,2024-05-01,29,2024-01,25,4,1,1.8546
UNIT-05,2024-06-01,30,2024-01,25,5,1,1.9331
UNIT-05,2024-07-01,31,2024-01,25,6,1,1.8789
UNIT-05,2024-08-01,32,2024-01,25,7,1,1.8415
UNIT-05,2024-09-01,33,2024-01,25,8,1,1.8816
UNIT-05,2024-10-01,34,2024-01,25,9,1,1.9171
UNIT-05,2024-11-01,35,2024-01,25,10,1,1.8405
UNIT-05,2024-12-01,36,2024-01,25,11,1,1.8481
UNIT-05,2025-01-01,37,2024-01,25,12,1,1.9519
UNIT-05,2025-02-01,38,2024-01,25,13,1,1.8462
UNIT-05,2025-03-01,39,2024-01,25,14,1,1.9064
UNIT-05,2025-04-01,40,2024-01,25,15,1,1.9009
UNIT-05,2025-05-01,41,2024-01,25,16,1,1.8833
UNIT-05,2025-06-01,42,2024-01,25,17,1,1.8298
UNIT-05,2025-07-01,43,2024-01,25,18,1,1.8929
UNIT-05,2025-08-01,44,2024-01,25,19,1,1.8925
UNIT-05,2025-09-01,45,2024-01,25,20,1,1.9417
UNIT-05,2025-10-01,46,2024-01,25,21,1,1.9285
UNIT-05,2025-11-01,47,2024-01,25,22,1,1.9153
UNIT-05,2025-12-01,48,2024-01,25,23,1,1.9314
UNIT-06,2022-01-01,1,2024-01,25,-24,0,2.4556
UNIT-06,2022-02-01,2,2024-01,25,-23,0,2.3877
UNIT-06,2022-03-01,3,2024-01,25,-22,0,2.4624
UNIT-06,2022-04-01,4,2024-01,25,-21,0,2.3718
UNIT-06,2022-05-01,5,2024-01,25,-20,0,2.4677
UNIT-06,2022-06-01,6,2024-01,25,-19,0,2.3697
UNIT-06,2022-07-01,7,2024-01,25,-18,0,2.4386
UNIT-06,2022-08-01,8,2024-01,25,-17,0,2.4766
UNIT-06,2022-09-01,9,2024-01,25,-16,0,2.4353
UNIT-06,2022-10-01,10,2024-01,25,-15,0,2.4843
UNIT-06,2022-11-01,11,2024-01,25,-14,0,2.4398
UNIT-06,2022-12-01,12,2024-01,25,-13,0,2.4009
UNIT-06,2023-01-01,13,2024-01,25,-12,0,2.4252
UNIT-06,2023-02-01,14,2024-01,25,-11,0,2.4605
UNIT-06,2023-03-01,15,2024-01,25,-10,0,2.4064
UNIT-06,2023-04-01,16,2024-01,25,-9,0,2.5333
UNIT-06,2023-05-01,17,2024-01,25,-8,0,2.4549
UNIT-06,2023-06-01,18,2024-01,25,-7,0,2.45
UNIT-06,2023-07-01,19,2024-01,25,-6,0,2.4979
UNIT-06,2023-08-01,20,2024-01,25,-5,0,2.5058
UNIT-06,2023-09-01,21,2024-01,25,-4,0,2.4644
UNIT-06,2023-10-01,22,2024-01,25,-3,0,2.4911
UNIT-06,2023-11-01,23,2024-01,25,-2,0,2.4852
UNIT-06,2023-12-01,24,2024-01,25,-1,0,2.4686
UNIT-06,2024-01-01,25,2024-01,25,0,1,2.5033
UNIT-06,2024-02-01,26,2024-01,25,1,1,2.5535
UNIT-06,2024-03-01,27,2024-01,25,2,1,2.512
UNIT-06,2024-04-01,28,2024-01,25,3,1,2.5995
UNIT-06,2024-05-01,29,2024-01,25,4,1,2.5565
UNIT-06,2024-06-01,30,2024-01,25,5,1,2.5263
UNIT-06,2024-07-01,31,2024-01,25,6,1,2.5687
UNIT-06,2024-08-01,32,2024-01,25,7,1,2.5998
UNIT-06,2024-09-01,33,2024-01,25,8,1,2.5988
UNIT-06,2024-10-01,34,2024-01,25,9,1,2.614
UNIT-06,2024-11-01,35,2024-01,25,10,1,2.5538
UNIT-06,2024-12-01,36,2024-01,25,11,1,2.6081
UNIT-06,2025-01-01,37,2024-01,25,12,1,2.5425
UNIT-06,2025-02-01,38,2024-01,25,13,1,2.5718
UNIT-06,2025-03-01,39,2024-01,25,14,1,2.5841
UNIT-06,2025-04-01,40,2024-01,25,15,1,2.6006
UNIT-06,2025-05-01,41,2024-01,25,16,1,2.5824
UNIT-06,2025-06-01,42,2024-01,25,17,1,2.6263
UNIT-06,2025-07-01,43,2024-01,25,18,1,2.5873
UNIT-06,2025-08-01,44,2024-01,25,19,1,2.7002
UNIT-06,2025-09-01,45,2024-01,25,20,1,2.5908
UNIT-06,2025-10-01,46,2024-01,25,21,1,2.6579
UNIT-06,2025-11-01,47,2024-01,25,22,1,2.6559
UNIT-06,2025-12-01,48,2024-01,25,23,1,2.6103
UNIT-07,2022-01-01,1,2023-07,19,-18,0,3.0374
UNIT-07,2022-02-01,2,2023-07,19,-17,0,2.9875
UNIT-07,2022-03-01,3,2023-07,19,-16,0,3.0151
UNIT-07,2022-04-01,4,2023-07,19,-15,0,3.0066
UNIT-07,2022-05-01,5,2023-07,19,-14,0,3.0583
UNIT-07,2022-06-01,6,2023-07,19,-13,0,3.1002
UNIT-07,2022-07-01,7,2023-07,19,-12,0,3.0434
UNIT-07,2022-08-01,8,2023-07,19,-11,0,3.0502
UNIT-07,2022-09-01,9,2023-07,19,-10,0,3.0173
UNIT-07,2022-10-01,10,2023-07,19,-9,0,2.9356
UNIT-07,2022-11-01,11,2023-07,19,-8,0,3.0317
UNIT-07,2022-12-01,12,2023-07,19,-7,0,3.0906
UNIT-07,2023-01-01,13,2023-07,19,-6,0,3.0719
UNIT-07,2023-02-01,14,2023-07,19,-5,0,2.9658
UNIT-07,2023-03-01,15,2023-07,19,-4,0,3.0642
UNIT-07,2023-04-01,16,2023-07,19,-3,0,3.1224
UNIT-07,2023-05-01,17,2023-07,19,-2,0,3.0597
UNIT-07,2023-06-01,18,2023-07,19,-1,0,3.0266
UNIT-07,2023-07-01,19,2023-07,19,0,1,3.093
UNIT-07,2023-08-01,20,2023-07,19,1,1,3.1469
UNIT-07,2023-09-01,21,2023-07,19,2,1,3.0917
UNIT-07,2023-10-01,22,2023-07,19,3,1,3.1649
UNIT-07,2023-11-01,23,2023-07,19,4,1,3.0885
UNIT-07,2023-12-01,24,2023-07,19,5,1,3.1233
UNIT-07,2024-01-01,25,2023-07,19,6,1,3.1826
UNIT-07,2024-02-01,26,2023-07,19,7,1,3.2371
UNIT-07,2024-03-01,27,2023-07,19,8,1,3.1851
UNIT-07,2024-04-01,28,2023-07,19,9,1,3.2084
UNIT-07,2024-05-01,29,2023-07,19,10,1,3.2583
UNIT-07,2024-06-01,30,2023-07,19,11,1,3.1635
UNIT-07,2024-07-01,31,2023-07,19,12,1,3.1775
UNIT-07,2024-08-01,32,2023-07,19,13,1,3.1553
UNIT-07,2024-09-01,33,2023-07,19,14,1,3.1637
UNIT-07,2024-10-01,34,2023-07,19,15,1,3.207
UNIT-07,2024-11-01,35,2023-07,19,16,1,3.2284
UNIT-07,2024-12-01,36,2023-07,19,17,1,3.2072
UNIT-07,2025-01-01,37,2023-07,19,18,1,3.222
UNIT-07,2025-02-01,38,2023-07,19,19,1,3.1744
UNIT-07,2025-03-01,39,2023-07,19,20,1,3.207
UNIT-07,2025-04-01,40,2023-07,19,21,1,3.2072
UNIT-07,2025-05-01,41,2023-07,19,22,1,3.2644
UNIT-07,2025-06-01,42,2023-07,19,23,1,3.2439
UNIT-07,2025-07-01,43,2023-07,19,24,1,3.2013
UNIT-07,2025-08-01,44,2023-07,19,25,1,3.1864
UNIT-07,2025-09-01,45,2023-07,19,26,1,3.2348
UNIT-07,2025-10-01,46,2023-07,19,27,1,3.212
UNIT-07,2025-11-01,47,2023-07,19,28,1,3.2529
UNIT-07,2025-12-01,48,2023-07,19,29,1,3.236
UNIT-08,2022-01-01,1,2024-01,25,-24,0,2.2057
UNIT-08,2022-02-01,2,2024-01,25,-23,0,2.1697
UNIT-08,2022-03-01,3,2024-01,25,-22,0,2.1454
UNIT-08,2022-04-01,4,2024-01,25,-21,0,2.2168
UNIT-08,2022-05-01,5,2024-01,25,-20,0,2.1687
UNIT-08,2022-06-01,6,2024-01,25,-19,0,2.2222
UNIT-08,2022-07-01,7,2024-01,25,-18,0,2.2782
UNIT-08,2022-08-01,8,2024-01,25,-17,0,2.2076
UNIT-08,2022-09-01,9,2024-01,25,-16,0,2.2407
UNIT-08,2022-10-01,10,2024-01,25,-15,0,2.2312
UNIT-08,2022-11-01,11,2024-01,25,-14,0,2.2171
UNIT-08,2022-12-01,12,2024-01,25,-13,0,2.2505
UNIT-08,2023-01-01,13,2024-01,25,-12,0,2.1918
UNIT-08,2023-02-01,14,2024-01,25,-11,0,2.2508
UNIT-08,2023-03-01,15,2024-01,25,-10,0,2.2712
UNIT-08,2023-04-01,16,2024-01,25,-9,0,2.2374
UNIT-08,2023-05-01,17,2024-01,25,-8,0,2.2622
UNIT-08,2023-06-01,18,2024-01,25,-7,0,2.2785
UNIT-08,2023-07-01,19,2024-01,25,-6,0,2.2453
UNIT-08,2023-08-01,20,2024-01,25,-5,0,2.2873
UNIT-08,2023-09-01,21,2024-01,25,-4,0,2.2695
UNIT-08,2023-10-01,22,2024-01,25,-3,0,2.237
UNIT-08,2023-11-01,23,2024-01,25,-2,0,2.2231
UNIT-08,2023-12-01,24,2024-01,25,-1,0,2.285
UNIT-08,2024-01-01,25,2024-01,25,0,1,2.2475
UNIT-08,2024-02-01,26,2024-01,25,1,1,2.2773
UNIT-08,2024-03-01,27,2024-01,25,2,1,2.3122
UNIT-08,2024-04-01,28,2024-01,25,3,1,2.2836
UNIT-08,2024-05-01,29,2024-01,25,4,1,2.3773
UNIT-08,2024-06-01,30,2024-01,25,5,1,2.3535
UNIT-08,2024-07-01,31,2024-01,25,6,1,2.3735
UNIT-08,2024-08-01,32,2024-01,25,7,1,2.3716
UNIT-08,2024-09-01,33,2024-01,25,8,1,2.3883
UNIT-08,2024-10-01,34,2024-01,25,9,1,2.3638
UNIT-08,2024-11-01,35,2024-01,25,10,1,2.3323
UNIT-08,2024-12-01,36,2024-01,25,11,1,2.3175
UNIT-08,2025-01-01,37,2024-01,25,12,1,2.3684
UNIT-08,2025-02-01,38,2024-01,25,13,1,2.3546
UNIT-08,2025-03-01,39,2024-01,25,14,1,2.4067
UNIT-08,2025-04-01,40,2024-01,25,15,1,2.4114
UNIT-08,2025-05-01,41,2024-01,25,16,1,2.3949
UNIT-08,2025-06-01,42,2024-01,25,17,1,2.3868
UNIT-08,2025-07-01,43,2024-01,25,18,1,2.3682
UNIT-08,2025-08-01,44,2024-01,25,19,1,2.419
UNIT-08,2025-09-01,45,2024-01,25,20,1,2.4256
UNIT-08,2025-10-01,46,2024-01,25,21,1,2.3852
UNIT-08,2025-11-01,47,2024-01,25,22,1,2.4118
UNIT-08,2025-12-01,48,2024-01,25,23,1,2.32
UNIT-09,2022-01-01,1,2023-01,13,-12,0,2.3255
UNIT-09,2022-02-01,2,2023-01,13,-11,0,2.3952
UNIT-09,2022-03-01,3,2023-01,13,-10,0,2.3686
UNIT-09,2022-04-01,4,2023-01,13,-9,0,2.3604
UNIT-09,2022-05-01,5,2023-01,13,-8,0,2.388
UNIT-09,2022-06-01,6,2023-01,13,-7,0,2.3425
UNIT-09,2022-07-01,7,2023-01,13,-6,0,2.3587
UNIT-09,2022-08-01,8,2023-01,13,-5,0,2.3539
UNIT-09,2022-09-01,9,2023-01,13,-4,0,2.3602
UNIT-09,2022-10-01,10,2023-01,13,-3,0,2.3987
UNIT-09,2022-11-01,11,2023-01,13,-2,0,2.3799
UNIT-09,2022-12-01,12,2023-01,13,-1,0,2.3679
UNIT-09,2023-01-01,13,2023-01,13,0,1,2.3683
UNIT-09,2023-02-01,14,2023-01,13,1,1,2.3964
UNIT-09,2023-03-01,15,2023-01,13,2,1,2.4435
UNIT-09,2023-04-01,16,2023-01,13,3,1,2.4462
UNIT-09,2023-05-01,17,2023-01,13,4,1,2.5097
UNIT-09,2023-06-01,18,2023-01,13,5,1,2.4965
UNIT-09,2023-07-01,19,2023-01,13,6,1,2.4812
UNIT-09,2023-08-01,20,2023-01,13,7,1,2.4146
UNIT-09,2023-09-01,21,2023-01,13,8,1,2.4374
UNIT-09,2023-10-01,22,2023-01,13,9,1,2.4563
UNIT-09,2023-11-01,23,2023-01,13,10,1,2.5189
UNIT-09,2023-12-01,24,2023-01,13,11,1,2.4879
UNIT-09,2024-01-01,25,2023-01,13,12,1,2.4601
UNIT-09,2024-02-01,26,2023-01,13,13,1,2.5118
UNIT-09,2024-03-01,27,2023-01,13,14,1,2.5425
UNIT-09,2024-04-01,28,2023-01,13,15,1,2.4832
UNIT-09,2024-05-01,29,2023-01,13,16,1,2.538
UNIT-09,2024-06-01,30,2023-01,13,17,1,2.5809
UNIT-09,2024-07-01,31,2023-01,13,18,1,2.5016
UNIT-09,2024-08-01,32,2023-01,13,19,1,2.5007
UNIT-09,2024-09-01,33,2023-01,13,20,1,2.5208
UNIT-09,2024-10-01,34,2023-01,13,21,1,2.5064
UNIT-09,2024-11-01,35,2023-01,13,22,1,2.518
UNIT-09,2024-12-01,36,2023-01,13,23,1,2.5087
UNIT-09,2025-01-01,37,2023-01,13,24,1,2.5102
UNIT-09,2025-02-01,38,2023-01,13,25,1,2.5173
UNIT-09,2025-03-01,39,2023-01,13,26,1,2.5008
UNIT-09,2025-04-01,40,2023-01,13,27,1,2.5661
UNIT-09,2025-05-01,41,2023-01,13,28,1,2.5745
UNIT-09,2025-06-01,42,2023-01,13,29,1,2.5215
UNIT-09,2025-07-01,43,2023-01,13,30,1,2.5672
UNIT-09,2025-08-01,44,2023-01,13,31,1,2.5478
UNIT-09,2025-09-01,45,2023-01,13,32,1,2.5352
UNIT-09,2025-10-01,46,2023-01,13,33,1,2.6114
