area_id,city,prior_footfall,floor_area_m2,dist_market_m,program,sales_growth_pct,program_rct,sales_growth_rct_pct
PP-044,Phnom Penh,72.8,24.3,1197.0,0,7.23,0,10.59
PP-045,Phnom Penh,38.8,94.4,72.0,0,8.12,0,3.53
PP-046,Phnom Penh,22.3,59.6,790.0,0,1.47,0,-0.75
PP-047,Phnom Penh,27.4,44.8,686.0,0,3.92,0,0.45
PP-048,Phnom Penh,34.2,71.6,157.0,0,6.78,0,3.76
PP-049,Phnom Penh,63.2,32.2,555.0,0,10.81,0,10.69
PP-050,Phnom Penh,63.5,47.8,369.0,1,16.32,0,3.38
PP-051,Phnom Penh,71.9,25.5,931.0,1,15.93,0,9.04
PP-052,Phnom Penh,82.1,31.6,267.0,1,17.26,0,13.43
PP-053,Phnom Penh,57.8,38.2,133.0,0,11.46,0,11.48
PP-054,Phnom Penh,55.3,72.1,1373.0,0,10.92,0,9.35
PP-055,Phnom Penh,44.6,26.8,1174.0,0,0.66,0,3.64
PP-056,Phnom Penh,45.0,59.2,62.0,0,6.74,1,6.78
PP-057,Phnom Penh,32.6,36.6,392.0,0,-2.14,0,3.07
PP-058,Phnom Penh,57.7,16.6,162.0,0,8.96,0,6.41
PP-059,Phnom Penh,54.8,15.4,486.0,1,10.96,0,9.38
PP-060,Phnom Penh,43.9,26.9,989.0,0,4.99,1,12.27
PP-061,Phnom Penh,37.8,59.7,638.0,0,7.21,0,7.02
PP-062,Phnom Penh,56.9,41.3,441.0,0,11.33,0,10.83
PP-063,Phnom Penh,69.6,83.5,296.0,1,16.66,1,12.66
PP-064,Phnom Penh,51.2,39.9,464.0,0,0.37,0,2.22
PP-065,Phnom Penh,54.3,69.7,457.0,0,11.68,0,5.31
PP-066,Phnom Penh,41.8,41.2,232.0,0,3.74,1,9.51
PP-067,Phnom Penh,46.3,24.4,260.0,0,-0.68,1,13.99
PP-068,Phnom Penh,45.3,50.8,1007.0,0,5.92,1,11.4
PP-069,Phnom Penh,45.7,26.3,1213.0,0,4.79,1,9.37
PP-070,Phnom Penh,41.0,19.5,638.0,0,3.81,1,5.87
PP-071,Phnom Penh,55.9,26.2,499.0,1,14.89,0,9.41
PP-072,Phnom Penh,69.5,30.9,1098.0,1,12.99,1,12.03
PP-073,Phnom Penh,35.8,41.2,173.0,1,4.71,0,0.77
PP-074,Phnom Penh,71.0,54.1,30.0,0,14.34,1,13.05
PP-075,Phnom Penh,44.0,48.5,320.0,0,3.22,1,6.42
PP-076,Phnom Penh,44.5,94.7,476.0,0,8.49,1,13.01
PP-077,Phnom Penh,17.7,15.2,430.0,0,-2.75,1,1.2
PP-078,Phnom Penh,13.7,34.0,137.0,0,0.95,0,1.86
PP-079,Phnom Penh,61.0,118.6,159.0,1,17.79,1,13.57
PP-080,Phnom Penh,33.6,32.0,127.0,0,6.06,1,6.8
PP-081,Phnom Penh,62.1,20.9,388.0,1,10.84,0,10.72
PP-082,Phnom Penh,50.8,26.2,248.0,1,6.11,0,8.24
PP-083,Phnom Penh,53.8,23.8,1183.0,0,6.0,0,12.52
PP-084,Phnom Penh,70.0,29.5,1308.0,0,6.64,0,8.27
PP-085,Phnom Penh,48.9,80.7,667.0,0,10.32,0,5.84
PP-086,Phnom Penh,10.0,19.6,108.0,0,0.94,1,2.5
PP-087,Phnom Penh,23.9,27.0,588.0,0,-4.55,0,3.25
PP-088,Phnom Penh,64.6,70.1,798.0,1,11.92,0,7.16
PP-089,Phnom Penh,80.0,42.2,1576.0,1,16.93,1,15.03
PP-090,Phnom Penh,48.6,42.9,94.0,1,12.35,0,10.41
PP-091,Phnom Penh,39.5,31.2,445.0,0,1.65,0,4.53
PP-092,Phnom Penh,29.1,56.6,30.0,0,2.88,1,5.46
PP-093,Phnom Penh,58.2,23.3,764.0,1,8.56,0,7.93
PP-094,Phnom Penh,23.0,57.0,228.0,0,0.34,0,-0.21
PP-095,Phnom Penh,31.3,39.1,517.0,0,4.79,0,5.23
PP-096,Phnom Penh,52.0,34.0,88.0,1,5.57,1,8.18
PP-097,Phnom Penh,51.5,29.0,204.0,1,10.43,1,11.86
PP-098,Phnom Penh,46.1,56.8,658.0,0,8.08,1,10.09
PP-099,Phnom Penh,66.0,43.1,509.0,1,9.16,1,10.23
PP-100,Phnom Penh,31.3,31.0,324.0,0,0.74,1,7.32
PP-101,Phnom Penh,32.1,39.0,800.0,0,6.58,0,4.97
PP-102,Phnom Penh,43.7,23.0,1082.0,0,4.99,1,12.62
PP-103,Phnom Penh,51.0,66.0,635.0,0,9.48,0,8.63
PP-104,Phnom Penh,44.9,69.2,912.0,0,7.16,0,5.75
PP-105,Phnom Penh,79.9,61.9,1161.0,1,19.43,1,17.05
PP-106,Phnom Penh,40.9,42.3,694.0,0,7.24,0,1.9
PP-107,Phnom Penh,59.5,46.7,189.0,1,12.43,0,11.33
PP-108,Phnom Penh,41.2,20.1,80.0,0,3.57,1,10.38
PP-109,Phnom Penh,54.8,31.4,695.0,1,12.63,0,5.06
PP-110,Phnom Penh,43.4,33.2,224.0,0,3.24,1,4.15
PP-111,Phnom Penh,44.1,35.0,324.0,1,7.13,0,2.41
PP-112,Phnom Penh,74.4,49.4,317.0,0,11.33,0,11.68
PP-113,Phnom Penh,44.9,30.5,557.0,0,4.91,0,4.42
PP-114,Phnom Penh,75.8,26.6,184.0,1,12.85,1,18.95
PP-115,Phnom Penh,38.9,63.9,431.0,0,4.36,0,5.4
PP-116,Phnom Penh,43.0,32.3,95.0,0,7.63,0,4.68
PP-117,Phnom Penh,66.6,27.8,458.0,0,6.29,0,12.27
PP-118,Phnom Penh,12.8,15.0,409.0,0,-6.62,1,2.05
PP-119,Phnom Penh,24.9,20.0,219.0,0,-0.09,0,-0.12
PP-120,Phnom Penh,50.3,33.4,82.0,0,7.38,1,8.07
PP-121,Phnom Penh,57.2,41.9,228.0,0,9.71,1,10.86
PP-122,Phnom Penh,58.6,16.6,270.0,1,12.57,0,12.23
PP-123,Phnom Penh,45.1,36.7,233.0,0,5.73,0,8.2
PP-124,Phnom Penh,28.3,42.9,1185.0,0,6.65,0,6.67
PP-125,Phnom Penh,62.5,29.5,1060.0,0,10.89,1,11.2
PP-126,Phnom Penh,56.7,37.9,152.0,1,11.86,0,9.98
PP-127,Phnom Penh,32.9,69.7,300.0,0,5.02,1,4.86
PP-128,Phnom Penh,51.3,26.4,692.0,0,7.73,1,8.52
PP-129,Phnom Penh,77.3,17.2,76.0,0,12.68,0,10.86
PP-130,Phnom Penh,51.9,31.1,287.0,1,11.18,0,3.87
PP-131,Phnom Penh,32.0,24.8,262.0,0,2.07,1,8.71
PP-132,Phnom Penh,43.5,36.1,184.0,0,4.63,1,8.05
PP-133,Phnom Penh,44.4,50.5,595.0,0,8.88,1,5.29
PP-134,Phnom Penh,55.2,55.1,491.0,0,3.8,1,7.57
PP-135,Phnom Penh,63.7,42.6,353.0,0,8.58,1,12.58
PP-136,Phnom Penh,35.7,69.4,234.0,0,2.34,0,4.34
PP-137,Phnom Penh,40.1,43.4,229.0,0,6.43,0,5.39
PP-138,Phnom Penh,65.5,58.6,118.0,1,10.86,0,7.71
PP-139,Phnom Penh,61.2,43.2,916.0,1,12.55,1,8.69
PP-140,Phnom Penh,70.6,41.7,50.0,1,15.59,0,7.19
PP-141,Phnom Penh,27.7,29.3,325.0,0,3.72,0,2.97
PP-142,Phnom Penh,35.4,36.9,116.0,0,6.09,0,3.58
PP-143,Phnom Penh,65.3,28.4,118.0,1,13.62,0,13.9
PP-144,Phnom Penh,35.5,32.2,582.0,0,2.05,1,5.59
PP-145,Phnom Penh,54.9,38.1,569.0,1,10.86,1,11.45
PP-146,Phnom Penh,49.1,61.9,492.0,1,5.81,1,8.28
PP-147,Phnom Penh,38.6,32.8,265.0,0,7.12,1,3.49
PP-148,Phnom Penh,72.3,48.7,445.0,0,9.47,1,17.43
PP-149,Phnom Penh,49.7,21.1,671.0,1,8.9,1,5.53
PP-150,Phnom Penh,42.2,32.3,236.0,0,4.27,0,7.08
PP-151,Phnom Penh,47.5,65.4,954.0,0,10.89,1,11.88
PP-152,Phnom Penh,53.7,43.0,292.0,0,6.41,0,5.13
PP-153,Phnom Penh,25.9,16.3,915.0,0,0.54,0,-0.13
PP-154,Phnom Penh,36.8,36.3,260.0,0,7.38,1,6.65
PP-155,Phnom Penh,30.4,32.9,437.0,0,3.47,1,4.18
PP-156,Phnom Penh,17.8,21.6,420.0,0,-1.88,1,4.62
PP-157,Phnom Penh,64.9,16.7,535.0,1,15.39,0,5.8
PP-158,Phnom Penh,71.8,24.0,1105.0,1,13.49,0,7.52
PP-159,Phnom Penh,68.1,22.7,499.0,1,15.68,1,13.99
PP-160,Phnom Penh,22.9,50.7,764.0,0,3.93,0,-1.76
PP-161,Phnom Penh,56.0,47.7,106.0,1,9.74,0,10.0
PP-162,Phnom Penh,60.3,49.1,114.0,0,6.78,0,6.88
PP-163,Phnom Penh,41.2,59.9,850.0,0,3.21,0,2.7
PP-164,Phnom Penh,62.4,15.0,273.0,0,11.08,1,15.82
PP-165,Phnom Penh,32.9,32.5,453.0,0,8.02,0,1.19
PP-166,Phnom Penh,33.5,42.9,394.0,0,4.8,1,3.6
PP-167,Phnom Penh,37.2,27.2,206.0,1,9.04,0,3.56
PP-168,Phnom Penh,38.9,27.7,916.0,0,3.04,1,7.03
PP-169,Phnom Penh,34.6,25.7,58.0,0,3.89,1,6.59
PP-170,Phnom Penh,64.6,39.7,211.0,1,14.05,1,12.62
PP-171,Phnom Penh,33.6,35.9,451.0,0,-1.24,0,7.29
PP-172,Phnom Penh,42.8,64.0,1093.0,0,3.95,1,5.34
PP-173,Phnom Penh,40.2,43.9,562.0,0,3.49,0,4.31
PP-174,Phnom Penh,83.4,40.5,694.0,1,17.25,1,18.43
PP-175,Phnom Penh,36.2,36.4,360.0,0,6.48,0,0.81
PP-176,Phnom Penh,57.1,25.8,187.0,1,12.08,0,10.6
PP-177,Phnom Penh,77.6,38.9,417.0,1,18.18,0,14.2
PP-178,Phnom Penh,31.9,53.3,559.0,0,4.39,1,2.97
PP-179,Phnom Penh,37.3,45.5,784.0,0,5.29,1,9.74
PP-180,Phnom Penh,44.9,22.8,684.0,0,4.58,1,11.45
PP-181,Phnom Penh,29.8,18.7,246.0,0,2.22,0,-0.67
PP-182,Phnom Penh,68.5,50.5,468.0,1,14.24,0,12.71
PP-183,Phnom Penh,42.7,40.1,576.0,0,4.36,1,6.48
PP-184,Phnom Penh,65.9,42.0,683.0,0,11.12,0,9.74
PP-185,Phnom Penh,58.0,25.1,897.0,1,9.25,0,9.21
PP-186,Phnom Penh,50.3,51.6,420.0,1,12.18,1,11.11
PP-187,Phnom Penh,64.5,51.1,444.0,1,13.16,0,9.34
PP-188,Phnom Penh,45.4,32.9,1016.0,0,2.12,1,6.2
PP-189,Phnom Penh,65.9,47.8,638.0,1,16.22,0,12.7
PP-190,Phnom Penh,30.1,24.5,1086.0,0,5.41,1,3.16
PP-191,Phnom Penh,38.7,35.6,366.0,0,7.45,0,3.88
PP-192,Phnom Penh,68.2,15.0,1021.0,1,11.58,1,11.68
PP-193,Phnom Penh,18.3,32.5,1071.0,0,-2.7,1,2.37
PP-194,Phnom Penh,57.1,111.8,690.0,1,11.11,1,9.24
PP-195,Phnom Penh,43.7,50.9,576.0,0,3.84,1,8.62
PP-196,Phnom Penh,41.7,80.4,69.0,0,7.44,1,8.55
PP-197,Phnom Penh,39.4,48.2,1050.0,0,2.51,1,8.01
PP-198,Phnom Penh,69.4,41.5,356.0,1,13.37,1,15.62
PP-199,Phnom Penh,26.9,41.2,634.0,0,2.74,0,6.39
PP-200,Phnom Penh,62.5,31.2,874.0,1,12.01,0,9.05
PP-201,Phnom Penh,57.2,51.9,241.0,0,6.21,1,11.48
PP-202,Phnom Penh,43.6,26.9,691.0,0,5.93,1,7.02
PP-203,Phnom Penh,48.7,38.3,733.0,0,5.18,0,4.18
PP-204,Phnom Penh,60.6,163.0,374.0,0,10.58,0,13.19
PP-205,Phnom Penh,41.0,47.1,105.0,0,5.8,0,3.84
PP-206,Phnom Penh,27.2,30.3,167.0,0,2.48,0,-1.85
PP-207,Phnom Penh,54.2,60.7,289.0,1,8.79,0,6.21
PP-208,Phnom Penh,37.3,45.7,682.0,0,2.47,1,8.92
PP-209,Phnom Penh,43.8,33.4,484.0,0,6.17,1,5.52
PP-210,Phnom Penh,50.8,22.8,1042.0,0,3.36,1,13.09
PP-211,Phnom Penh,61.1,34.9,160.0,0,13.06,0,11.44
PP-212,Phnom Penh,77.2,30.8,913.0,1,15.82,1,15.73
PP-213,Phnom Penh,55.1,38.4,402.0,0,8.51,0,6.27
PP-214,Phnom Penh,51.7,44.6,721.0,0,4.62,1,8.33
PP-215,Phnom Penh,62.3,42.8,322.0,1,11.62,0,11.44
PP-216,Phnom Penh,54.3,24.6,358.0,1,9.53,1,11.53
PP-217,Phnom Penh,24.6,47.5,955.0,0,-3.15,1,2.75
PP-218,Phnom Penh,41.0,45.1,207.0,0,2.33,0,0.98
PP-219,Phnom Penh,31.4,19.3,187.0,0,5.88,0,3.99
PP-220,Phnom Penh,60.4,43.4,452.0,1,9.55,1,8.64
PP-221,Phnom Penh,69.1,36.0,424.0,1,14.26,1,15.09
PP-222,Phnom Penh,55.3,44.4,898.0,0,9.86,1,9.8
PP-223,Phnom Penh,34.5,22.8,765.0,0,1.92,0,2.24
PP-224,Phnom Penh,62.0,32.2,76.0,1,13.4,0,8.96
PP-225,Phnom Penh,35.5,33.4,368.0,0,3.05,1,4.53
PP-226,Phnom Penh,53.8,21.3,660.0,1,9.36,1,9.85
PP-227,Phnom Penh,32.0,46.7,149.0,0,5.51,1,7.46
PP-228,Phnom Penh,29.2,32.4,1230.0,0,0.68,0,1.87
PP-229,Phnom Penh,28.9,44.1,657.0,0,-3.07,1,6.3
PP-230,Phnom Penh,50.3,23.5,853.0,1,6.68,1,9.09
PP-231,Phnom Penh,40.1,19.7,307.0,0,4.02,0,4.52
PP-232,Phnom Penh,56.5,21.9,1167.0,0,9.27,1,8.32
PP-233,Phnom Penh,30.5,15.0,852.0,0,0.19,0,-1.1
PP-234,Phnom Penh,57.4,26.1,94.0,1,14.59,0,13.24
PP-235,Phnom Penh,40.7,44.2,485.0,1,3.24,1,8.62
PP-236,Phnom Penh,68.8,71.4,142.0,1,12.63,0,14.19
PP-237,Phnom Penh,65.3,63.1,107.0,1,13.33,0,9.36
PP-238,Phnom Penh,46.8,67.5,632.0,0,4.94,1,13.34
PP-239,Phnom Penh,51.6,67.4,76.0,1,8.74,1,15.38
PP-240,Phnom Penh,53.7,99.0,258.0,1,12.66,1,9.69
PP-241,Phnom Penh,57.0,40.9,672.0,0,4.98,0,10.32
PP-242,Phnom Penh,45.9,57.6,216.0,0,4.36,1,4.62
PP-243,Phnom Penh,66.4,50.4,187.0,1,12.71,1,12.63
PP-244,Phnom Penh,42.4,15.0,208.0,0,0.9,0,5.11
PP-245,Phnom Penh,21.1,40.4,200.0,0,0.26,0,1.87
PP-246,Phnom Penh,53.7,38.6,200.0,1,11.0,0,9.95
PP-247,Phnom Penh,48.4,44.7,641.0,1,9.71,0,5.66
PP-248,Phnom Penh,62.5,29.7,410.0,1,14.94,0,10.81
PP-249,Phnom Penh,58.9,26.8,130.0,1,10.25,0,8.8
PP-250,Phnom Penh,51.9,29.7,283.0,1,12.1,1,15.62
PP-251,Phnom Penh,51.6,52.4,254.0,0,7.69,1,6.34
PP-252,Phnom Penh,51.9,46.3,304.0,1,8.84,1,9.34
PP-253,Phnom Penh,40.1,73.8,409.0,0,1.93,1,8.17
PP-254,Phnom Penh,31.7,21.0,265.0,0,5.08,0,3.24
PP-255,Phnom Penh,37.7,62.7,444.0,0,-0.41,1,1.17
PP-256,Phnom Penh,48.6,89.5,581.0,0,8.13,0,4.34
PP-257,Phnom Penh,16.0,24.6,250.0,0,-0.61,1,3.9
PP-258,Phnom Penh,43.5,38.7,378.0,0,7.74,0,6.27
PP-259,Phnom Penh,35.3,17.9,552.0,0,1.13,0,-2.39
PP-260,Phnom Penh,48.7,15.0,315.0,0,2.27,1,8.4
PP-261,Phnom Penh,37.8,19.7,446.0,0,4.41,1,7.77
PP-262,Phnom Penh,50.9,37.4,318.0,0,8.13,0,6.79
PP-263,Phnom Penh,46.6,40.5,436.0,0,7.62,0,5.03
PP-264,Phnom Penh,69.4,30.6,300.0,1,14.03,1,8.43
PP-265,Phnom Penh,44.9,49.3,890.0,0,4.53,0,2.03
PP-266,Phnom Penh,46.3,43.1,494.0,0,5.06,0,4.78
PP-267,Phnom Penh,50.4,87.7,481.0,0,7.85,0,10.12
PP-268,Phnom Penh,22.7,19.0,134.0,0,-2.16,0,-0.9
PP-269,Phnom Penh,33.9,24.3,974.0,0,2.37,1,5.78
PP-270,Phnom Penh,71.5,27.7,313.0,0,11.97,1,12.19
PP-271,Phnom Penh,57.7,27.0,527.0,0,11.98,0,8.33
PP-272,Phnom Penh,51.3,29.2,455.0,1,8.97,1,13.19
PP-273,Phnom Penh,66.2,110.0,173.0,0,8.19,1,13.25
PP-274,Phnom Penh,47.3,30.8,779.0,0,9.64,1,8.41
PP-275,Phnom Penh,46.3,49.4,1210.0,0,5.86,0,8.12
PP-276,Phnom Penh,45.5,18.8,607.0,0,7.58,1,6.12
PP-277,Phnom Penh,23.4,26.3,206.0,0,-0.96,0,1.08
PP-278,Phnom Penh,64.1,54.2,774.0,1,8.67,1,10.7
PP-279,Phnom Penh,47.2,58.0,594.0,0,4.96,1,11.4
PP-280,Phnom Penh,48.6,17.2,297.0,0,7.34,0,5.72
PP-281,Phnom Penh,45.0,97.1,1337.0,0,6.61,1,10.94
PP-282,Phnom Penh,40.5,44.5,39.0,0,6.95,0,9.51
PP-283,Phnom Penh,16.1,25.5,636.0,0,-3.0,0,-2.94
PP-284,Phnom Penh,52.3,45.5,95.0,1,10.41,0,10.78
PP-285,Phnom Penh,82.7,27.1,247.0,1,12.67,1,20.43
PP-286,Phnom Penh,64.8,18.5,561.0,1,9.74,0,9.37
PP-287,Phnom Penh,45.7,39.9,215.0,0,4.44,0,4.04
PP-288,Phnom Penh,36.1,54.0,203.0,0,3.29,1,9.77
PP-289,Phnom Penh,50.4,60.5,656.0,1,12.23,1,9.88
PP-290,Phnom Penh,55.6,16.7,509.0,0,8.85,0,6.93
PP-291,Phnom Penh,48.2,23.4,606.0,0,8.9,0,6.97
PP-292,Phnom Penh,62.5,33.4,1013.0,1,7.33,1,11.6
PP-293,Phnom Penh,35.7,60.0,631.0,0,3.62,1,7.21
PP-294,Phnom Penh,66.0,67.6,77.0,1,10.37,1,16.24
PP-295,Phnom Penh,52.3,30.3,1789.0,0,7.82,0,7.42
PP-296,Phnom Penh,41.8,20.7,194.0,0,3.68,1,6.37
PP-297,Phnom Penh,45.7,47.7,651.0,1,8.8,0,6.31
PP-298,Phnom Penh,55.2,29.2,247.0,0,9.39,1,8.7
PP-299,Phnom Penh,61.4,44.7,674.0,0,8.81,0,5.9
PP-300,Phnom Penh,51.1,60.1,976.0,0,3.62,1,10.2
PP-301,Phnom Penh,58.7,48.8,415.0,1,9.42,0,10.86
PP-302,Phnom Penh,86.1,22.7,341.0,1,14.66,0,10.1
PP-303,Phnom Penh,25.4,20.5,1144.0,0,-1.7,0,3.79
PP-304,Phnom Penh,19.9,18.0,335.0,0,-1.68,1,9.16
PP-305,Phnom Penh,51.3,52.0,661.0,0,8.01,0,11.47
PP-306,Phnom Penh,35.5,62.4,626.0,0,-2.02,0,-4.56
PP-307,Phnom Penh,51.7,22.4,336.0,1,15.86,1,11.86
PP-308,Phnom Penh,25.8,28.3,873.0,0,0.28,0,1.62
PP-309,Phnom Penh,52.0,23.3,206.0,0,7.13,0,9.53
PP-310,Phnom Penh,69.7,33.9,1300.0,1,11.43,1,16.98
PP-311,Phnom Penh,66.6,24.2,381.0,0,8.99,0,11.24
PP-312,Phnom Penh,33.5,24.2,218.0,0,2.01,0,-0.71
PP-313,Phnom Penh,45.4,65.4,508.0,0,3.46,1,7.15
PP-314,Phnom Penh,63.3,55.7,1287.0,1,14.52,0,9.54
PP-315,Phnom Penh,77.4,36.6,406.0,1,14.87,1,16.42
PP-316,Phnom Penh,35.7,61.7,507.0,0,3.35,1,8.63
PP-317,Phnom Penh,37.2,27.1,369.0,0,2.49,0,4.34
PP-318,Phnom Penh,66.8,44.8,1457.0,1,19.58,0,13.57
PP-319,Phnom Penh,44.6,23.0,817.0,0,3.57,1,5.92
PP-320,Phnom Penh,34.6,25.1,463.0,0,4.39,1,4.91
PP-321,Phnom Penh,65.8,56.7,596.0,0,12.88,0,12.58
PP-322,Phnom Penh,24.8,20.2,199.0,0,-1.43,1,5.46
PP-323,Phnom Penh,39.7,29.3,692.0,0,2.08,1,12.65
PP-324,Phnom Penh,64.5,20.5,464.0,0,7.09,0,7.55
PP-325,Phnom Penh,40.6,19.7,1172.0,0,4.85,1,2.26
PP-326,Phnom Penh,61.5,35.6,841.0,1,13.12,1,11.22
PP-327,Phnom Penh,31.6,36.4,747.0,0,4.85,0,5.58
PP-328,Phnom Penh,61.6,17.2,72.0,0,7.29,1,10.67
PP-329,Phnom Penh,57.1,97.3,335.0,0,8.81,1,9.19
PP-330,Phnom Penh,74.3,71.9,1065.0,1,13.62,1,16.47
PP-331,Phnom Penh,46.3,22.8,253.0,0,7.13,0,6.47
PP-332,Phnom Penh,44.7,42.4,54.0,0,-0.75,0,6.61
PP-333,Phnom Penh,48.6,37.5,173.0,0,11.21,1,9.21
PP-334,Phnom Penh,65.7,25.8,233.0,1,11.7,1,9.91
PP-335,Phnom Penh,38.9,18.9,567.0,1,9.12,0,10.25
PP-336,Phnom Penh,47.9,35.0,664.0,0,3.82,0,4.44
PP-337,Phnom Penh,79.2,31.9,960.0,1,16.41,1,18.72
PP-338,Phnom Penh,61.7,61.1,76.0,1,11.34,1,8.48
PP-339,Phnom Penh,60.9,37.5,1804.0,0,6.74,1,9.58
PP-340,Phnom Penh,42.2,21.6,473.0,0,8.61,1,3.82
PP-341,Phnom Penh,62.9,25.1,259.0,1,17.02,1,9.18
PP-342,Phnom Penh,32.5,34.4,1626.0,0,-0.56,1,1.06
PP-343,Phnom Penh,27.6,54.9,163.0,0,1.29,1,6.6
PP-344,Phnom Penh,35.9,20.1,514.0,0,0.08,1,6.16
PP-345,Phnom Penh,71.3,39.3,474.0,1,17.59,0,12.49
PP-346,Phnom Penh,52.5,64.4,1334.0,0,8.87,1,10.73
PP-347,Phnom Penh,36.0,17.6,1461.0,0,4.51,0,-0.85
PP-348,Phnom Penh,44.6,68.1,55.0,0,3.17,0,5.18
PP-349,Phnom Penh,56.8,27.0,321.0,1,11.75,0,4.02
PP-350,Phnom Penh,67.7,34.1,282.0,1,12.83,0,14.95
PP-351,Phnom Penh,25.5,27.3,132.0,0,0.37,1,6.34
PP-352,Phnom Penh,70.1,41.7,185.0,1,14.47,0,10.93
PP-353,Phnom Penh,64.0,44.4,137.0,1,15.03,1,8.38
PP-354,Phnom Penh,39.5,45.1,536.0,0,7.28,1,10.21
PP-355,Phnom Penh,44.0,131.3,762.0,0,6.69,0,3.63
PP-356,Phnom Penh,57.4,15.0,799.0,0,11.01,1,7.67
PP-357,Phnom Penh,45.7,27.8,169.0,0,6.53,1,4.24
PP-358,Phnom Penh,52.1,19.0,241.0,0,7.17,1,14.46
PP-359,Phnom Penh,34.1,31.9,458.0,0,4.43,0,5.84
PP-360,Phnom Penh,22.7,25.3,245.0,0,1.33,0,-0.46
PP-361,Phnom Penh,86.4,31.3,919.0,0,14.73,0,16.5
PP-362,Phnom Penh,52.6,34.9,606.0,0,10.87,0,2.42
PP-363,Phnom Penh,53.4,26.8,1183.0,0,9.49,0,10.35
PP-364,Phnom Penh,57.6,54.8,115.0,0,9.35,0,9.34
PP-365,Phnom Penh,70.0,17.8,382.0,1,13.82,0,15.67
PP-366,Phnom Penh,63.9,27.7,315.0,1,14.44,1,14.34
PP-367,Phnom Penh,34.6,36.0,502.0,1,8.39,0,1.48
PP-368,Phnom Penh,48.3,67.6,151.0,1,9.39,1,5.57
PP-369,Phnom Penh,51.0,19.0,585.0,0,4.84,1,12.73
PP-370,Phnom Penh,61.4,20.0,115.0,1,8.01,0,6.48
PP-371,Phnom Penh,41.0,45.6,248.0,0,9.5,1,10.24
PP-372,Phnom Penh,55.7,37.0,273.0,0,8.56,0,10.98
PP-373,Phnom Penh,53.4,18.3,797.0,0,7.06,0,4.65
