cell_id,col,row,x_m,y_m,dist_cbd_km,built_up_pct,green_pct,pop_density,log_land_value
G110,1,6,1500.0,6500.0,6.708,38.01,27.98,9393.0,19.0833
G111,2,6,2500.0,6500.0,5.831,39.5,23.25,9832.0,19.3126
G112,3,6,3500.0,6500.0,5.0,36.59,16.86,11114.0,19.305
G113,4,6,4500.0,6500.0,4.243,41.38,15.09,9527.0,19.5031
G114,5,6,5500.0,6500.0,3.606,50.56,27.9,10822.0,19.4036
G115,6,6,6500.0,6500.0,3.162,38.12,16.64,11643.0,19.1645
G116,7,6,7500.0,6500.0,3.0,43.63,24.59,15351.0,19.2146
G117,8,6,8500.0,6500.0,3.162,50.85,18.54,13529.0,19.1649
G118,9,6,9500.0,6500.0,3.606,44.32,25.26,13391.0,19.0346
G119,10,6,10500.0,6500.0,4.243,44.32,19.97,15460.0,19.1383
G120,11,6,11500.0,6500.0,5.0,52.8,24.68,12460.0,19.2812
G121,12,6,12500.0,6500.0,5.831,38.45,25.14,9293.0,19.1594
G122,13,6,13500.0,6500.0,6.708,41.19,18.06,9472.0,19.398
G123,14,6,14500.0,6500.0,7.616,35.95,38.22,11218.0,19.3597
G124,15,6,15500.0,6500.0,8.544,39.56,30.3,9691.0,19.4101
G125,16,6,16500.0,6500.0,9.487,24.48,29.42,5460.0,19.1482
G126,17,6,17500.0,6500.0,10.44,26.0,37.02,5153.0,18.978
G127,0,7,500.0,7500.0,7.28,37.6,25.97,9607.0,18.6608
G128,1,7,1500.0,7500.0,6.325,48.36,25.52,12597.0,19.2026
G129,2,7,2500.0,7500.0,5.385,39.36,26.71,12793.0,18.938
G130,3,7,3500.0,7500.0,4.472,42.52,14.32,6187.0,19.0596
G131,4,7,4500.0,7500.0,3.606,50.35,16.48,14446.0,19.4925
G132,5,7,5500.0,7500.0,2.828,33.69,19.95,13903.0,19.2375
G133,6,7,6500.0,7500.0,2.236,52.64,17.43,10307.0,19.2931
G134,7,7,7500.0,7500.0,2.0,51.05,22.18,12523.0,19.2502
G135,8,7,8500.0,7500.0,2.236,64.68,18.93,10043.0,19.2741
G136,9,7,9500.0,7500.0,2.828,50.77,21.24,11932.0,19.064
G137,10,7,10500.0,7500.0,3.606,40.27,22.97,8825.0,19.0647
G138,11,7,11500.0,7500.0,4.472,44.35,23.27,9319.0,19.342
G139,12,7,12500.0,7500.0,5.385,41.64,18.01,10590.0,19.3919
G140,13,7,13500.0,7500.0,6.325,36.39,27.79,7946.0,19.2432
G141,14,7,14500.0,7500.0,7.28,19.86,32.44,14867.0,19.0033
G142,15,7,15500.0,7500.0,8.246,30.8,22.57,7892.0,19.2276
G143,16,7,16500.0,7500.0,9.22,31.7,24.21,10117.0,19.0145
G144,17,7,17500.0,7500.0,10.198,29.21,26.59,11895.0,18.9578
G145,0,8,500.0,8500.0,7.071,36.44,25.98,6952.0,18.5908
G146,1,8,1500.0,8500.0,6.083,33.84,21.54,12134.0,18.7749
G147,2,8,2500.0,8500.0,5.099,43.0,31.44,6700.0,18.7696
G148,3,8,3500.0,8500.0,4.123,35.68,24.24,12823.0,18.9583
G149,4,8,4500.0,8500.0,3.162,37.26,21.04,12233.0,19.0671
G150,5,8,5500.0,8500.0,2.236,43.15,22.44,9262.0,19.1438
G151,6,8,6500.0,8500.0,1.414,52.88,19.15,15222.0,19.3888
G152,7,8,7500.0,8500.0,1.0,54.44,28.3,11290.0,19.1757
G153,8,8,8500.0,8500.0,1.414,51.19,25.22,13451.0,19.0598
G154,9,8,9500.0,8500.0,2.236,54.84,23.79,11548.0,19.3585
G155,10,8,10500.0,8500.0,3.162,53.8,20.21,17796.0,19.3318
G156,11,8,11500.0,8500.0,4.123,44.49,29.22,11960.0,19.1953
G157,12,8,12500.0,8500.0,5.099,45.68,21.27,9767.0,19.4286
G158,13,8,13500.0,8500.0,6.083,29.99,26.24,9751.0,19.318
G159,14,8,14500.0,8500.0,7.071,38.06,20.31,12249.0,19.4947
G160,15,8,15500.0,8500.0,8.062,47.9,27.07,10611.0,19.3863
G161,16,8,16500.0,8500.0,9.055,36.56,30.12,12913.0,18.9975
G162,17,8,17500.0,8500.0,10.05,35.75,36.56,3249.0,19.06
G163,0,9,500.0,9500.0,7.0,37.16,24.82,6176.0,18.4149
G164,1,9,1500.0,9500.0,6.0,44.96,38.07,6307.0,18.5014
G165,2,9,2500.0,9500.0,5.0,41.93,33.33,7579.0,18.8299
G166,3,9,3500.0,9500.0,4.0,38.03,21.93,11489.0,18.9402
G167,4,9,4500.0,9500.0,3.0,43.98,20.84,9761.0,18.9284
G168,5,9,5500.0,9500.0,2.0,52.55,27.41,13337.0,19.3121
G169,6,9,6500.0,9500.0,1.0,64.81,34.23,13490.0,19.4369
G170,7,9,7500.0,9500.0,0.0,51.82,14.88,13238.0,19.3465
G171,8,9,8500.0,9500.0,1.0,42.96,23.06,12284.0,19.3441
G172,9,9,9500.0,9500.0,2.0,51.89,20.71,14122.0,19.529
G173,10,9,10500.0,9500.0,3.0,50.94,29.5,9253.0,19.4931
G174,11,9,11500.0,9500.0,4.0,43.42,24.23,12203.0,19.4198
G175,12,9,12500.0,9500.0,5.0,41.41,20.77,14760.0,19.3947
G176,13,9,13500.0,9500.0,6.0,29.51,18.71,7076.0,19.2901
G177,14,9,14500.0,9500.0,7.0,43.14,28.18,12090.0,19.5626
G178,15,9,15500.0,9500.0,8.0,24.04,29.99,10438.0,18.9589
G179,16,9,16500.0,9500.0,9.0,28.28,30.15,8562.0,18.8867
G180,17,9,17500.0,9500.0,10.0,31.01,35.7,9522.0,18.9315
G181,0,10,500.0,10500.0,7.071,52.37,30.87,11899.0,18.8198
G182,1,10,1500.0,10500.0,6.083,44.53,39.63,11498.0,18.8587
G183,2,10,2500.0,10500.0,5.099,46.69,31.27,7260.0,18.8516
G184,3,10,3500.0,10500.0,4.123,49.01,19.53,11444.0,19.0506
G185,4,10,4500.0,10500.0,3.162,50.03,26.31,13361.0,19.3898
G186,5,10,5500.0,10500.0,2.236,43.07,24.87,10603.0,19.4623
G187,6,10,6500.0,10500.0,1.414,51.92,19.67,8322.0,19.4928
G188,7,10,7500.0,10500.0,1.0,41.97,17.06,14456.0,19.4389
G189,8,10,8500.0,10500.0,1.414,52.97,23.1,7726.0,19.5652
G190,9,10,9500.0,10500.0,2.236,34.38,14.82,9148.0,19.4985
G191,10,10,10500.0,10500.0,3.162,41.6,20.77,11291.0,19.6263
G192,11,10,11500.0,10500.0,4.123,55.64,12.92,9583.0,20.1622
G193,12,10,12500.0,10500.0,5.099,49.34,20.1,11210.0,19.808
G194,13,10,13500.0,10500.0,6.083,45.88,19.89,8329.0,19.6526
G195,14,10,14500.0,10500.0,7.071,39.2,27.16,10913.0,19.1854
G196,15,10,15500.0,10500.0,8.062,39.72,32.16,10091.0,19.0304
G197,16,10,16500.0,10500.0,9.055,32.36,26.65,8754.0,18.707
G198,17,10,17500.0,10500.0,10.05,35.67,33.22,5747.0,18.7756
G199,0,11,500.0,11500.0,7.28,39.29,26.8,9885.0,18.8456
G200,1,11,1500.0,11500.0,6.325,40.86,31.07,10435.0,18.8111
G201,2,11,2500.0,11500.0,5.385,30.84,30.97,7375.0,18.9529
G202,3,11,3500.0,11500.0,4.472,24.14,21.06,7711.0,18.8531
G203,4,11,4500.0,11500.0,3.606,41.56,18.67,13666.0,19.3176
G204,5,11,5500.0,11500.0,2.828,46.31,15.49,10717.0,19.3334
G205,6,11,6500.0,11500.0,2.236,48.12,16.14,12482.0,19.383
G206,7,11,7500.0,11500.0,2.0,40.99,27.9,8799.0,19.3349
G207,8,11,8500.0,11500.0,2.236,51.69,22.49,13044.0,19.7323
G208,9,11,9500.0,11500.0,2.828,45.03,16.41,15974.0,19.962
G209,10,11,10500.0,11500.0,3.606,48.66,16.41,13189.0,19.7874
G210,11,11,11500.0,11500.0,4.472,50.56,27.61,11523.0,19.8282
G211,12,11,12500.0,11500.0,5.385,30.52,25.3,13166.0,19.5329
G212,13,11,13500.0,11500.0,6.325,51.91,25.67,6444.0,19.7363
G213,14,11,14500.0,11500.0,7.28,38.53,31.26,7773.0,19.2059
G214,15,11,15500.0,11500.0,8.246,35.02,28.27,9644.0,19.0259
G215,16,11,16500.0,11500.0,9.22,51.33,24.7,6229.0,18.8804
G216,17,11,17500.0,11500.0,10.198,30.81,24.51,6413.0,18.5951
G217,0,12,500.0,12500.0,7.616,33.06,35.08,14651.0,18.9031
G218,1,12,1500.0,12500.0,6.708,37.24,23.85,11543.0,18.9784
G219,2,12,2500.0,12500.0,5.831,40.71,29.9,7946.0,19.0012
G220,3,12,3500.0,12500.0,5.0,33.4,21.51,11342.0,19.0489
G221,4,12,4500.0,12500.0,4.243,34.45,25.53,7491.0,19.2541
G222,5,12,5500.0,12500.0,3.606,49.64,28.83,10926.0,19.5312
G223,6,12,6500.0,12500.0,3.162,38.57,23.98,8696.0,19.3753
G224,7,12,7500.0,12500.0,3.0,38.81,20.13,10467.0,19.4792
G225,8,12,8500.0,12500.0,3.162,43.0,15.1,10410.0,19.4538
G226,9,12,9500.0,12500.0,3.606,41.16,23.53,10183.0,19.4764
G227,10,12,10500.0,12500.0,4.243,45.31,21.24,8875.0,19.4527
G228,11,12,11500.0,12500.0,5.0,37.14,21.53,9428.0,19.5944
G229,12,12,12500.0,12500.0,5.831,41.14,30.42,9097.0,19.3067
G230,13,12,13500.0,12500.0,6.708,28.32,30.85,8226.0,19.2528
G231,14,12,14500.0,12500.0,7.616,30.17,30.66,11054.0,19.0487
G232,15,12,15500.0,12500.0,8.544,29.39,39.83,10039.0,18.7592
G233,16,12,16500.0,12500.0,9.487,34.6,34.68,3734.0,18.7066
G234,17,12,17500.0,12500.0,10.44,40.94,27.16,4708.0,18.8294
G235,0,13,500.0,13500.0,8.062,40.95,22.28,7697.0,19.1162
G236,1,13,1500.0,13500.0,7.211,27.67,26.37,6216.0,18.9352
G237,2,13,2500.0,13500.0,6.403,50.56,26.7,8381.0,19.4153
G238,3,13,3500.0,13500.0,5.657,33.55,29.47,11117.0,19.0384
G239,4,13,4500.0,13500.0,5.0,38.98,24.25,13976.0,19.2182
G240,5,13,5500.0,13500.0,4.472,40.8,21.18,14135.0,19.1888
G241,6,13,6500.0,13500.0,4.123,43.85,21.87,8171.0,19.3764
G242,7,13,7500.0,13500.0,4.0,52.67,21.18,9402.0,19.5211
G243,8,13,8500.0,13500.0,4.123,55.89,17.05,6060.0,19.3533
G244,9,13,9500.0,13500.0,4.472,48.88,27.75,9957.0,19.4551
G245,10,13,10500.0,13500.0,5.0,51.62,24.3,9839.0,19.5821
G246,11,13,11500.0,13500.0,5.657,35.34,29.91,12978.0,19.2343
G247,12,13,12500.0,13500.0,6.403,52.66,30.05,11319.0,19.2897
G248,13,13,13500.0,13500.0,7.211,29.17,28.31,8047.0,18.979
G249,14,13,14500.0,13500.0,8.062,34.88,31.34,8327.0,18.5652
G250,15,13,15500.0,13500.0,8.944,35.58,44.56,4843.0,18.5462
G251,16,13,16500.0,13500.0,9.849,27.97,24.46,6613.0,18.7115
G252,17,13,17500.0,13500.0,10.77,45.82,37.69,2792.0,18.8013
G253,0,14,500.0,14500.0,8.602,43.47,26.7,12041.0,19.1554
G254,1,14,1500.0,14500.0,7.81,30.47,27.3,11024.0,19.1634
G255,2,14,2500.0,14500.0,7.071,35.9,36.57,12318.0,19.2695
G256,3,14,3500.0,14500.0,6.403,41.81,18.62,9383.0,19.2457
G257,4,14,4500.0,14500.0,5.831,48.86,31.49,11761.0,19.2644
G258,5,14,5500.0,14500.0,5.385,38.76,18.37,10485.0,19.2189
G259,6,14,6500.0,14500.0,5.099,38.69,21.62,13261.0,19.2964
G260,7,14,7500.0,14500.0,5.0,37.42,25.95,10862.0,19.2377
G261,8,14,8500.0,14500.0,5.099,41.5,22.99,13111.0,19.4417
G262,9,14,9500.0,14500.0,5.385,42.16,19.13,12721.0,19.35
G263,10,14,10500.0,14500.0,5.831,32.58,23.04,7517.0,19.2477
G264,11,14,11500.0,14500.0,6.403,48.42,31.67,8435.0,19.1358
G265,12,14,12500.0,14500.0,7.071,28.91,15.42,12266.0,18.8668
G266,13,14,13500.0,14500.0,7.81,42.28,28.82,10874.0,18.6722
G267,14,14,14500.0,14500.0,8.602,35.16,35.95,7121.0,18.345
G268,15,14,15500.0,14500.0,9.434,35.06,30.9,5149.0,18.2404
G269,16,14,16500.0,14500.0,10.296,43.2,33.64,8241.0,18.6061
G270,17,14,17500.0,14500.0,11.18,30.92,32.89,10742.0,18.6603
G271,0,15,500.0,15500.0,9.22,34.1,32.05,6577.0,18.7901
G272,1,15,1500.0,15500.0,8.485,37.38,26.66,6569.0,19.0623
G273,2,15,2500.0,15500.0,7.81,27.84,35.67,6185.0,18.8626
G274,3,15,3500.0,15500.0,7.211,36.23,35.54,9657.0,18.9048
G275,4,15,4500.0,15500.0,6.708,39.81,21.46,13650.0,18.8762
G276,5,15,5500.0,15500.0,6.325,39.37,27.88,11945.0,18.9093
G277,6,15,6500.0,15500.0,6.083,37.69,25.98,12039.0,19.02
G278,7,15,7500.0,15500.0,6.0,54.35,31.74,10328.0,19.3999
G279,8,15,8500.0,15500.0,6.083,38.64,20.88,12243.0,19.3571
G280,9,15,9500.0,15500.0,6.325,37.43,26.53,5966.0,19.2883
G281,10,15,10500.0,15500.0,6.708,36.67,28.34,6372.0,19.1131
G282,11,15,11500.0,15500.0,7.211,42.92,32.86,9259.0,19.4431
G283,12,15,12500.0,15500.0,7.81,37.25,31.82,12489.0,18.9823
G284,13,15,13500.0,15500.0,8.485,35.61,18.1,12362.0,18.4249
G285,14,15,14500.0,15500.0,9.22,21.84,37.42,6780.0,17.8852
G286,15,15,15500.0,15500.0,10.0,22.36,27.57,9296.0,17.8728
G287,16,15,16500.0,15500.0,10.817,34.93,33.65,4405.0,18.2465
G288,17,15,17500.0,15500.0,11.662,26.53,34.15,6134.0,18.253
G289,0,16,500.0,16500.0,9.899,37.42,30.93,7185.0,18.9813
G290,1,16,1500.0,16500.0,9.22,30.62,31.19,11340.0,19.1153
G291,2,16,2500.0,16500.0,8.602,31.96,38.38,5148.0,18.8721
G292,3,16,3500.0,16500.0,8.062,28.63,32.76,11083.0,18.8633
G293,4,16,4500.0,16500.0,7.616,38.05,28.19,7384.0,18.7831
G294,5,16,5500.0,16500.0,7.28,39.7,33.46,10673.0,18.7379
G295,6,16,6500.0,16500.0,7.071,32.14,35.11,6678.0,18.7222
G296,7,16,7500.0,16500.0,7.0,45.95,34.47,11531.0,19.1198
G297,8,16,8500.0,16500.0,7.071,41.91,28.63,8902.0,19.1676
G298,9,16,9500.0,16500.0,7.28,54.01,25.88,7463.0,19.2128
G299,10,16,10500.0,16500.0,7.616,28.69,27.95,9362.0,19.015
G300,11,16,11500.0,16500.0,8.062,50.96,35.52,8103.0,19.137
G301,12,16,12500.0,16500.0,8.602,41.67,33.22,6712.0,18.954
G302,13,16,13500.0,16500.0,9.22,35.76,22.13,5860.0,18.6481
G303,14,16,14500.0,16500.0,9.899,27.98,39.94,7817.0,18.0736
G304,15,16,15500.0,16500.0,10.63,31.37,32.81,5955.0,17.995
G305,16,16,16500.0,16500.0,11.402,28.93,30.86,5648.0,17.9027
G306,17,16,17500.0,16500.0,12.207,15.03,34.71,5520.0,17.6898
G307,0,17,500.0,17500.0,10.63,31.89,44.8,8087.0,18.6585
G308,1,17,1500.0,17500.0,10.0,35.42,30.29,9112.0,18.977
G309,2,17,2500.0,17500.0,9.434,37.28,32.68,4277.0,19.0121
G310,3,17,3500.0,17500.0,8.944,27.36,21.06,10840.0,18.911
G311,4,17,4500.0,17500.0,8.544,25.66,28.7,7897.0,18.5654
G312,5,17,5500.0,17500.0,8.246,31.77,26.02,11496.0,18.546
G313,6,17,6500.0,17500.0,8.062,31.57,31.44,7226.0,18.7045
G314,7,17,7500.0,17500.0,8.0,52.63,33.07,8436.0,18.7934
G315,8,17,8500.0,17500.0,8.062,33.69,27.06,7685.0,18.7588
G316,9,17,9500.0,17500.0,8.246,30.38,29.68,11865.0,18.7978
G317,10,17,10500.0,17500.0,8.544,29.32,26.83,7372.0,18.7651
G318,11,17,11500.0,17500.0,8.944,38.58,33.3,9540.0,18.8999
G319,12,17,12500.0,17500.0,9.434,40.33,24.98,6874.0,18.818
G320,13,17,13500.0,17500.0,10.0,36.82,32.86,9695.0,18.5427
G321,14,17,14500.0,17500.0,10.63,33.91,38.22,11027.0,18.2899
G322,15,17,15500.0,17500.0,11.314,27.37,31.6,8136.0,18.0248
G323,16,17,16500.0,17500.0,12.042,23.81,24.28,5392.0,17.7416
G324,17,17,17500.0,17500.0,12.806,9.29,26.49,6439.0,17.2597
