muni_id,population,running,eligible,invest_per_capita_usd,region_type,share_under15_pct
KEN-M189,69331.0,19331.0,1,643.7,rural,44.2
KEN-M190,53753.0,3753.0,1,519.9,rural,39.6
KEN-M191,34789.0,-15211.0,0,343.3,rural,34.5
KEN-M192,84872.0,34872.0,1,631.3,secondary,33.7
KEN-M193,60367.0,10367.0,1,508.0,rural,42.3
KEN-M194,59083.0,9083.0,1,600.5,rural,40.3
KEN-M195,55125.0,5125.0,1,613.6,metropolitan,44.6
KEN-M196,82159.0,32159.0,1,462.9,rural,45.6
KEN-M197,52103.0,2103.0,1,580.2,secondary,35.5
KEN-M198,56510.0,6510.0,1,478.7,rural,43.2
KEN-M199,51157.0,1157.0,1,451.4,rural,52.4
KEN-M200,37167.0,-12833.0,0,342.1,secondary,35.7
KEN-M201,58069.0,8069.0,1,381.4,metropolitan,33.8
KEN-M202,29332.0,-20668.0,0,268.9,rural,39.9
KEN-M203,23087.0,-26913.0,0,246.4,rural,42.3
KEN-M204,74933.0,24933.0,1,657.8,rural,44.3
KEN-M205,22942.0,-27058.0,0,211.8,metropolitan,36.4
KEN-M206,55299.0,5299.0,1,652.3,metropolitan,44.8
KEN-M207,61939.0,11939.0,1,518.5,rural,36.1
KEN-M208,19016.0,-30984.0,0,228.6,secondary,44.2
KEN-M209,55469.0,5469.0,1,465.3,metropolitan,38.7
KEN-M210,68537.0,18537.0,1,644.7,rural,42.7
KEN-M211,58008.0,8008.0,1,451.7,metropolitan,37.3
KEN-M212,50452.0,452.0,1,328.4,rural,45.9
KEN-M213,53431.0,3431.0,1,556.0,rural,34.2
KEN-M214,54088.0,4088.0,1,463.7,rural,43.7
KEN-M215,50699.0,699.0,1,474.3,rural,41.5
KEN-M216,46808.0,-3192.0,0,37.6,metropolitan,38.3
KEN-M217,63509.0,13509.0,1,468.9,rural,40.2
KEN-M218,52447.0,2447.0,1,490.9,metropolitan,41.1
KEN-M219,52763.0,2763.0,1,488.5,rural,44.2
KEN-M220,42414.0,-7586.0,0,366.8,metropolitan,48.7
KEN-M221,34902.0,-15098.0,0,423.8,rural,39.9
KEN-M222,37810.0,-12190.0,0,388.9,metropolitan,42.2
KEN-M223,46236.0,-3764.0,0,373.4,secondary,28.0
KEN-M224,68627.0,18627.0,1,580.5,metropolitan,37.8
KEN-M225,59556.0,9556.0,1,501.1,metropolitan,38.3
KEN-M226,51608.0,1608.0,1,411.9,rural,39.0
KEN-M227,54688.0,4688.0,1,597.5,metropolitan,48.2
KEN-M228,19057.0,-30943.0,0,314.8,secondary,33.0
KEN-M229,57469.0,7469.0,1,465.9,metropolitan,33.8
KEN-M230,49977.0,-23.0,0,310.8,rural,34.4
KEN-M231,39177.0,-10823.0,0,377.7,metropolitan,39.0
KEN-M232,59003.0,9003.0,1,718.5,rural,44.4
KEN-M233,51585.0,1585.0,1,637.1,rural,35.4
KEN-M234,43408.0,-6592.0,0,637.5,secondary,50.2
KEN-M235,48291.0,-1709.0,0,484.1,secondary,38.3
KEN-M236,31811.0,-18189.0,0,244.2,rural,52.2
KEN-M237,38766.0,-11234.0,0,340.0,rural,29.9
KEN-M238,44626.0,-5374.0,0,212.3,rural,34.7
KEN-M239,58592.0,8592.0,1,437.2,rural,36.8
KEN-M240,83316.0,33316.0,1,782.0,rural,40.5
KEN-M241,37978.0,-12022.0,0,329.5,secondary,43.2
KEN-M242,36217.0,-13783.0,0,198.0,metropolitan,48.3
KEN-M243,52620.0,2620.0,1,593.1,metropolitan,47.8
KEN-M244,59233.0,9233.0,1,681.4,rural,29.8
KEN-M245,40319.0,-9681.0,0,252.8,rural,45.0
KEN-M246,41250.0,-8750.0,0,528.5,secondary,35.8
KEN-M247,45826.0,-4174.0,0,347.8,secondary,39.3
KEN-M248,58797.0,8797.0,1,549.1,rural,46.0
KEN-M249,60275.0,10275.0,1,722.1,secondary,47.6
KEN-M250,52953.0,2953.0,1,409.5,rural,38.4
KEN-M251,40873.0,-9127.0,0,357.1,rural,39.6
KEN-M252,50446.0,446.0,1,462.6,secondary,34.5
KEN-M253,45481.0,-4519.0,0,293.4,rural,38.1
KEN-M254,55863.0,5863.0,1,570.9,metropolitan,45.6
KEN-M255,52773.0,2773.0,1,395.8,metropolitan,47.0
KEN-M256,39799.0,-10201.0,0,413.6,metropolitan,41.2
KEN-M257,36821.0,-13179.0,0,368.5,rural,42.7
KEN-M258,50353.0,353.0,1,510.3,rural,40.1
KEN-M259,72192.0,22192.0,1,651.9,metropolitan,38.7
KEN-M260,26110.0,-23890.0,0,413.8,rural,42.5
KEN-M261,43506.0,-6494.0,0,295.4,secondary,45.3
KEN-M262,51054.0,1054.0,1,536.5,secondary,41.1
KEN-M263,50741.0,741.0,1,465.3,metropolitan,30.2
KEN-M264,42206.0,-7794.0,0,429.5,rural,48.9
KEN-M265,60558.0,10558.0,1,537.2,rural,38.3
KEN-M266,52122.0,2122.0,1,557.9,metropolitan,42.1
KEN-M267,66706.0,16706.0,1,630.4,rural,39.8
KEN-M268,38839.0,-11161.0,0,315.8,rural,33.2
KEN-M269,46138.0,-3862.0,0,386.3,secondary,43.2
KEN-M270,82652.0,32652.0,1,740.4,secondary,33.7
KEN-M271,64620.0,14620.0,1,548.0,metropolitan,42.9
KEN-M272,39513.0,-10487.0,0,302.0,rural,37.2
KEN-M273,47023.0,-2977.0,0,342.6,metropolitan,34.9
KEN-M274,47660.0,-2340.0,0,282.4,rural,41.1
KEN-M275,38997.0,-11003.0,0,455.2,rural,40.8
KEN-M276,65000.0,15000.0,1,604.9,secondary,48.4
KEN-M277,50666.0,666.0,1,409.2,rural,36.8
KEN-M278,32186.0,-17814.0,0,307.8,rural,43.9
KEN-M279,51354.0,1354.0,1,431.3,rural,42.6
KEN-M280,86623.0,36623.0,1,742.4,metropolitan,45.8
KEN-M281,50670.0,670.0,1,531.2,secondary,33.2
KEN-M282,64624.0,14624.0,1,460.1,metropolitan,31.8
KEN-M283,30840.0,-19160.0,0,335.0,rural,42.5
KEN-M284,28407.0,-21593.0,0,314.5,metropolitan,45.0
KEN-M285,49789.0,-211.0,0,426.9,rural,36.3
KEN-M286,65804.0,15804.0,1,679.2,secondary,45.7
KEN-M287,76794.0,26794.0,1,661.5,secondary,35.9
KEN-M288,61378.0,11378.0,1,615.5,metropolitan,48.7
KEN-M289,57689.0,7689.0,1,634.9,rural,35.0
KEN-M290,25829.0,-24171.0,0,155.3,secondary,36.2
KEN-M291,56421.0,6421.0,1,662.7,rural,39.8
KEN-M292,15963.0,-34037.0,0,305.4,metropolitan,36.9
KEN-M293,45947.0,-4053.0,0,193.2,rural,40.6
KEN-M294,52582.0,2582.0,1,595.4,secondary,38.7
KEN-M295,53657.0,3657.0,1,518.3,metropolitan,35.9
KEN-M296,54063.0,4063.0,1,656.2,secondary,39.2
KEN-M297,56341.0,6341.0,1,663.3,secondary,42.3
KEN-M298,61737.0,11737.0,1,482.0,metropolitan,50.4
KEN-M299,37266.0,-12734.0,0,315.1,metropolitan,37.2
KEN-M300,35862.0,-14138.0,0,243.2,secondary,37.9
KEN-M301,23095.0,-26905.0,0,158.8,secondary,39.7
KEN-M302,37047.0,-12953.0,0,305.2,secondary,42.3
KEN-M303,65237.0,15237.0,1,490.7,metropolitan,43.5
KEN-M304,39504.0,-10496.0,0,427.5,metropolitan,44.0
KEN-M305,35461.0,-14539.0,0,293.4,rural,30.6
KEN-M306,41297.0,-8703.0,0,369.0,rural,39.7
KEN-M307,68412.0,18412.0,1,447.8,metropolitan,37.5
KEN-M308,74050.0,24050.0,1,589.2,rural,37.6
KEN-M309,54622.0,4622.0,1,453.6,rural,46.1
KEN-M310,26839.0,-23161.0,0,80.5,rural,41.6
KEN-M311,59380.0,9380.0,1,492.5,rural,30.5
KEN-M312,38017.0,-11983.0,0,301.8,rural,36.3
KEN-M313,48191.0,-1809.0,0,367.1,metropolitan,41.4
KEN-M314,77098.0,27098.0,1,830.5,rural,39.4
KEN-M315,59610.0,9610.0,1,425.6,rural,42.2
KEN-M316,31487.0,-18513.0,0,244.7,rural,39.5
KEN-M317,66678.0,16678.0,1,630.3,secondary,46.5
KEN-M318,49171.0,-829.0,0,388.8,rural,38.4
KEN-M319,48242.0,-1758.0,0,349.5,rural,41.9
KEN-M320,56894.0,6894.0,1,550.5,rural,38.0
KEN-M321,59312.0,9312.0,1,545.0,secondary,32.2
KEN-M322,54947.0,4947.0,1,511.2,secondary,38.1
KEN-M323,48982.0,-1018.0,0,365.7,rural,40.8
KEN-M324,42829.0,-7171.0,0,374.0,secondary,41.1
KEN-M325,56337.0,6337.0,1,455.5,secondary,37.9
KEN-M326,72743.0,22743.0,1,682.7,rural,40.7
KEN-M327,41957.0,-8043.0,0,302.6,rural,37.9
KEN-M328,54146.0,4146.0,1,469.0,rural,51.1
KEN-M329,52765.0,2765.0,1,572.2,rural,47.6
KEN-M330,63050.0,13050.0,1,583.2,metropolitan,37.9
KEN-M331,52857.0,2857.0,1,593.2,metropolitan,36.9
KEN-M332,63002.0,13002.0,1,694.3,secondary,43.0
KEN-M333,37441.0,-12559.0,0,412.2,secondary,49.3
KEN-M334,56932.0,6932.0,1,417.5,rural,39.2
KEN-M335,35619.0,-14381.0,0,356.6,secondary,48.5
KEN-M336,37709.0,-12291.0,0,271.9,secondary,44.4
KEN-M337,53288.0,3288.0,1,460.6,secondary,48.0
KEN-M338,47574.0,-2426.0,0,359.5,secondary,53.6
KEN-M339,38888.0,-11112.0,0,333.3,rural,47.7
KEN-M340,74634.0,24634.0,1,688.6,metropolitan,41.9
KEN-M341,54693.0,4693.0,1,542.9,rural,36.5
KEN-M342,36183.0,-13817.0,0,365.0,metropolitan,32.7
KEN-M343,70701.0,20701.0,1,623.8,rural,35.1
KEN-M344,54389.0,4389.0,1,572.1,rural,33.9
KEN-M345,47112.0,-2888.0,0,409.2,metropolitan,50.6
KEN-M346,53900.0,3900.0,1,484.5,rural,34.9
KEN-M347,63442.0,13442.0,1,682.7,metropolitan,41.6
KEN-M348,50791.0,791.0,1,533.2,secondary,42.6
KEN-M349,52176.0,2176.0,1,619.8,rural,47.6
KEN-M350,62520.0,12520.0,1,598.2,rural,35.9
KEN-M351,39852.0,-10148.0,0,439.0,rural,38.5
KEN-M352,46919.0,-3081.0,0,380.9,secondary,52.2
KEN-M353,56737.0,6737.0,1,480.1,secondary,42.0
KEN-M354,35794.0,-14206.0,0,350.0,metropolitan,37.2
KEN-M355,41922.0,-8078.0,0,266.5,metropolitan,41.4
KEN-M356,44833.0,-5167.0,0,359.8,metropolitan,42.7
KEN-M357,54290.0,4290.0,1,501.1,secondary,44.3
KEN-M358,78471.0,28471.0,1,712.7,metropolitan,40.0
KEN-M359,47454.0,-2546.0,0,402.3,rural,43.8
KEN-M360,45260.0,-4740.0,0,309.0,secondary,50.9
KEN-M361,80207.0,30207.0,1,676.8,rural,42.0
KEN-M362,52385.0,2385.0,1,584.6,rural,44.6
KEN-M363,52397.0,2397.0,1,567.1,rural,37.7
KEN-M364,51262.0,1262.0,1,647.6,rural,39.0
KEN-M365,66661.0,16661.0,1,468.0,metropolitan,34.0
KEN-M366,39645.0,-10355.0,0,265.9,secondary,41.6
KEN-M367,31103.0,-18897.0,0,375.6,rural,42.0
KEN-M368,44972.0,-5028.0,0,554.2,metropolitan,33.5
KEN-M369,61870.0,11870.0,1,506.2,metropolitan,41.4
KEN-M370,49037.0,-963.0,0,435.2,secondary,41.2
KEN-M371,37700.0,-12300.0,0,365.5,rural,43.9
KEN-M372,50497.0,497.0,1,404.8,rural,37.1
KEN-M373,66554.0,16554.0,1,391.3,rural,43.3
KEN-M374,44624.0,-5376.0,0,307.4,secondary,35.3
KEN-M375,35023.0,-14977.0,0,285.6,rural,33.9
KEN-M376,29429.0,-20571.0,0,253.4,metropolitan,45.1
KEN-M377,45341.0,-4659.0,0,402.1,rural,39.5
KEN-M378,35777.0,-14223.0,0,335.1,rural,49.9
KEN-M379,50258.0,258.0,1,339.6,rural,42.5
KEN-M380,47696.0,-2304.0,0,326.4,secondary,48.5
KEN-M381,66517.0,16517.0,1,741.4,rural,36.6
KEN-M382,57012.0,7012.0,1,485.3,rural,32.7
KEN-M383,45592.0,-4408.0,0,495.0,rural,50.0
KEN-M384,28237.0,-21763.0,0,358.8,secondary,42.2
KEN-M385,46526.0,-3474.0,0,301.3,rural,41.5
KEN-M386,44854.0,-5146.0,0,348.1,rural,51.1
KEN-M387,45965.0,-4035.0,0,274.4,rural,36.0
KEN-M388,23423.0,-26577.0,0,258.1,secondary,43.2
KEN-M389,75634.0,25634.0,1,668.8,metropolitan,42.2
KEN-M390,48974.0,-1026.0,0,262.9,secondary,40.2
KEN-M391,45067.0,-4933.0,0,284.8,secondary,36.2
KEN-M392,62363.0,12363.0,1,520.8,secondary,41.3
KEN-M393,39359.0,-10641.0,0,259.3,secondary,40.4
KEN-M394,51518.0,1518.0,1,540.4,metropolitan,42.5
KEN-M395,41278.0,-8722.0,0,229.3,secondary,38.3
KEN-M396,64490.0,14490.0,1,620.4,rural,33.5
KEN-M397,49798.0,-202.0,0,362.9,rural,35.3
KEN-M398,54607.0,4607.0,1,696.7,secondary,44.4
KEN-M399,49446.0,-554.0,0,392.3,rural,47.9
KEN-M400,62928.0,12928.0,1,413.0,secondary,31.4
KEN-M401,34663.0,-15337.0,0,357.9,secondary,40.3
KEN-M402,75029.0,25029.0,1,586.8,rural,43.5
KEN-M403,26296.0,-23704.0,0,345.1,rural,39.0
KEN-M404,42539.0,-7461.0,0,342.6,secondary,40.9
KEN-M405,39472.0,-10528.0,0,380.4,rural,35.2
KEN-M406,59696.0,9696.0,1,551.9,metropolitan,43.9
KEN-M407,48870.0,-1130.0,0,349.5,metropolitan,40.5
KEN-M408,61886.0,11886.0,1,521.6,metropolitan,32.8
KEN-M409,40547.0,-9453.0,0,392.5,metropolitan,43.9
KEN-M410,49013.0,-987.0,0,446.0,rural,49.2
KEN-M411,44371.0,-5629.0,0,329.1,rural,43.2
KEN-M412,53597.0,3597.0,1,328.4,rural,41.8
KEN-M413,58019.0,8019.0,1,499.0,rural,34.6
KEN-M414,48192.0,-1808.0,0,505.4,metropolitan,34.6
KEN-M415,54093.0,4093.0,1,564.9,rural,34.1
KEN-M416,69273.0,19273.0,1,544.8,rural,45.3
KEN-M417,37089.0,-12911.0,0,409.8,metropolitan,44.4
KEN-M418,59590.0,9590.0,1,439.1,secondary,44.2
KEN-M419,32192.0,-17808.0,0,288.0,metropolitan,45.1
KEN-M420,52509.0,2509.0,1,630.0,secondary,34.5
KEN-M421,57584.0,7584.0,1,680.0,secondary,41.0
KEN-M422,39366.0,-10634.0,0,446.1,rural,40.8
KEN-M423,33374.0,-16626.0,0,196.6,metropolitan,39.6
KEN-M424,44047.0,-5953.0,0,303.3,rural,33.9
KEN-M425,53943.0,3943.0,1,610.0,secondary,48.1
KEN-M426,48219.0,-1781.0,0,327.6,rural,38.5
KEN-M427,50202.0,202.0,1,400.3,rural,39.2
KEN-M428,47320.0,-2680.0,0,358.7,rural,47.8
KEN-M429,48289.0,-1711.0,0,415.6,secondary,33.0
KEN-M430,49565.0,-435.0,0,375.8,rural,42.6
KEN-M431,36040.0,-13960.0,0,481.4,metropolitan,41.3
KEN-M432,36437.0,-13563.0,0,333.5,rural,42.7
KEN-M433,27974.0,-22026.0,0,364.8,rural,39.2
KEN-M434,72999.0,22999.0,1,705.3,secondary,38.4
KEN-M435,41380.0,-8620.0,0,360.5,rural,39.2
KEN-M436,53311.0,3311.0,1,462.2,rural,29.4
KEN-M437,50948.0,948.0,1,414.5,metropolitan,40.2
KEN-M438,62682.0,12682.0,1,684.0,rural,40.7
KEN-M439,58232.0,8232.0,1,527.8,rural,43.7
KEN-M440,77244.0,27244.0,1,605.0,metropolitan,38.4
KEN-M441,45232.0,-4768.0,0,371.5,secondary,46.6
KEN-M442,58836.0,8836.0,1,511.2,secondary,40.8
