shapeID,slope_deg_srtm,elevation_m,transit_access_index,mean_floor_area_m2,building_age_yr,log_land_price
KHM-ADM3-089,1.35,23.5,4.393,69.7,25,7.6931
KHM-ADM3-090,6.719,39.3,3.571,79.1,19,8.0622
KHM-ADM3-091,2.022,24.3,5.498,129.7,16,9.174
KHM-ADM3-092,4.932,43.6,3.034,35.8,32,8.0697
KHM-ADM3-093,1.826,26.0,5.213,65.7,3,9.3441
KHM-ADM3-094,2.355,16.2,5.951,105.0,2,9.1319
KHM-ADM3-095,2.453,12.4,4.066,60.4,26,8.7088
KHM-ADM3-096,2.059,35.6,4.101,71.4,4,7.8084
KHM-ADM3-097,11.702,89.4,1.693,85.2,10,6.5152
KHM-ADM3-098,7.676,56.5,3.355,63.3,13,7.8398
KHM-ADM3-099,1.307,30.7,4.727,94.6,19,7.8913
KHM-ADM3-100,5.096,50.3,3.7,63.6,24,8.0859
KHM-ADM3-101,7.538,58.6,4.418,102.9,40,9.2588
KHM-ADM3-102,5.019,41.5,3.453,108.0,4,7.6548
KHM-ADM3-103,3.857,37.7,4.613,76.7,11,8.4024
KHM-ADM3-104,5.686,40.8,1.756,65.5,3,6.876
KHM-ADM3-105,2.281,31.7,5.476,72.1,11,8.5183
KHM-ADM3-106,9.79,79.9,2.98,76.2,21,7.7031
KHM-ADM3-107,4.978,53.1,4.311,52.3,14,9.1756
KHM-ADM3-108,4.122,50.4,4.038,67.6,12,7.7433
KHM-ADM3-109,2.339,40.3,4.356,97.2,30,8.3343
KHM-ADM3-110,8.582,60.0,1.177,89.1,38,5.8883
KHM-ADM3-111,6.232,52.1,2.295,69.2,21,6.9961
KHM-ADM3-112,7.29,36.6,4.001,86.0,29,8.4549
KHM-ADM3-113,2.121,31.0,4.726,72.5,15,7.8667
KHM-ADM3-114,3.948,33.0,5.156,57.0,33,8.5541
KHM-ADM3-115,5.55,38.1,5.261,77.7,2,9.3781
KHM-ADM3-116,8.938,77.8,2.682,56.1,38,7.9264
KHM-ADM3-117,2.558,26.1,5.539,68.9,18,8.8445
KHM-ADM3-118,6.602,38.2,3.322,87.8,20,7.233
KHM-ADM3-119,5.626,30.4,3.933,50.3,7,7.918
KHM-ADM3-120,3.094,22.2,4.481,89.9,19,7.8736
KHM-ADM3-121,1.792,15.6,5.885,101.7,4,8.9603
KHM-ADM3-122,2.005,23.0,3.891,65.1,5,8.395
KHM-ADM3-123,1.324,8.1,4.579,103.0,36,8.4339
KHM-ADM3-124,3.549,45.7,4.358,93.8,17,8.2224
KHM-ADM3-125,3.705,23.6,4.192,81.4,32,8.3914
KHM-ADM3-126,3.785,38.0,5.111,106.1,1,8.273
KHM-ADM3-127,4.261,39.4,5.626,70.0,3,9.247
KHM-ADM3-128,1.111,10.0,5.447,92.6,19,8.7721
KHM-ADM3-129,0.937,10.2,4.611,100.2,31,7.9577
KHM-ADM3-130,3.096,25.0,2.96,66.3,4,6.2695
KHM-ADM3-131,2.838,17.4,4.081,104.6,23,7.3585
KHM-ADM3-132,1.891,35.7,4.4,86.8,19,7.7
KHM-ADM3-133,1.985,17.3,6.811,60.5,23,9.5062
KHM-ADM3-134,3.773,30.8,6.067,56.8,1,9.6282
KHM-ADM3-135,3.025,23.4,2.423,102.0,18,7.2788
KHM-ADM3-136,1.799,26.5,3.953,84.9,30,7.6885
KHM-ADM3-137,6.605,51.9,1.599,73.2,1,6.579
KHM-ADM3-138,2.045,25.4,4.331,100.7,14,7.5094
KHM-ADM3-139,2.17,14.6,4.785,61.3,27,8.4996
KHM-ADM3-140,1.493,14.7,3.76,71.7,39,7.3903
KHM-ADM3-141,1.304,23.5,4.749,94.5,13,7.412
KHM-ADM3-142,10.214,89.2,2.806,93.4,24,7.5777
KHM-ADM3-143,2.027,24.3,3.648,74.7,33,7.2689
KHM-ADM3-144,1.259,15.0,4.079,116.8,25,7.2932
KHM-ADM3-145,3.436,35.1,4.169,48.8,11,8.0302
KHM-ADM3-146,5.585,48.9,4.421,67.7,38,8.907
KHM-ADM3-147,1.428,19.0,5.226,96.9,33,8.4557
KHM-ADM3-148,8.401,60.0,2.528,102.3,22,8.2683
KHM-ADM3-149,6.893,70.3,3.727,70.0,36,7.3154
KHM-ADM3-150,4.416,30.7,5.457,85.7,38,8.5771
KHM-ADM3-151,1.255,12.3,4.699,72.1,5,8.4358
KHM-ADM3-152,13.041,88.4,2.912,71.8,18,8.5295
KHM-ADM3-153,3.29,18.4,5.063,63.9,2,9.1044
KHM-ADM3-154,7.459,61.5,3.33,70.7,38,8.1249
KHM-ADM3-155,3.19,24.2,4.257,64.9,9,7.6229
KHM-ADM3-156,3.699,39.2,5.954,75.6,18,9.2052
KHM-ADM3-157,4.143,34.1,2.239,91.5,21,6.0625
KHM-ADM3-158,0.462,22.4,4.955,57.2,33,8.2744
KHM-ADM3-159,12.79,89.9,1.258,79.1,31,6.4043
KHM-ADM3-160,3.821,45.8,5.928,91.1,18,8.8742
KHM-ADM3-161,7.525,76.6,3.579,82.3,31,8.6953
KHM-ADM3-162,14.324,97.3,1.489,65.0,22,7.2118
KHM-ADM3-163,1.813,26.1,3.236,68.2,38,7.3686
KHM-ADM3-164,1.251,12.2,3.42,73.7,17,6.9911
KHM-ADM3-165,0.905,20.8,4.285,102.8,4,8.2507
KHM-ADM3-166,4.147,26.2,3.301,39.6,27,6.9504
KHM-ADM3-167,6.524,54.1,2.925,71.5,6,7.5634
KHM-ADM3-168,1.598,9.5,4.098,73.4,15,8.1854
KHM-ADM3-169,3.525,39.4,5.17,56.5,25,8.3932
KHM-ADM3-170,4.347,33.0,3.713,63.6,8,7.7711
KHM-ADM3-171,1.09,19.8,5.654,75.4,7,7.7287
KHM-ADM3-172,8.94,68.3,3.5,67.5,3,9.048
KHM-ADM3-173,5.934,37.1,3.734,84.0,38,8.1418
KHM-ADM3-174,3.493,38.0,4.448,65.7,8,8.3339
KHM-ADM3-175,2.85,32.4,4.909,87.2,6,7.949
KHM-ADM3-176,4.396,52.7,4.604,79.1,32,8.719
KHM-ADM3-177,3.948,37.7,4.902,41.6,39,8.8159
KHM-ADM3-178,1.004,24.9,3.911,79.4,11,7.6278
KHM-ADM3-179,5.418,54.4,3.133,69.9,15,7.689
KHM-ADM3-180,4.927,57.2,3.28,85.2,27,7.976
KHM-ADM3-181,1.833,19.5,3.986,80.3,12,7.7762
KHM-ADM3-182,2.919,24.4,4.543,93.9,30,7.8729
KHM-ADM3-183,5.034,49.4,1.539,93.3,7,6.9322
KHM-ADM3-184,2.079,40.4,2.892,78.9,37,6.5786
KHM-ADM3-185,2.168,27.8,6.693,88.9,17,9.482
KHM-ADM3-186,2.368,31.6,4.731,61.5,5,7.655
KHM-ADM3-187,1.031,20.9,4.641,65.5,15,8.1837
KHM-ADM3-188,4.283,27.4,3.861,52.3,23,8.1781
KHM-ADM3-189,5.425,42.6,4.576,70.7,4,7.7642
KHM-ADM3-190,3.522,42.3,3.893,96.7,22,7.2662
KHM-ADM3-191,7.693,56.2,3.575,94.4,20,8.2507
KHM-ADM3-192,2.972,13.1,2.746,76.1,15,7.3208
KHM-ADM3-193,4.84,45.3,4.056,88.5,10,8.106
KHM-ADM3-194,0.685,19.8,4.34,71.1,33,7.5264
KHM-ADM3-195,0.344,7.2,4.538,108.9,22,8.3386
KHM-ADM3-196,2.839,24.2,3.419,59.5,5,8.2069
KHM-ADM3-197,2.515,18.6,3.919,90.4,24,7.6265
KHM-ADM3-198,0.848,25.3,5.863,47.4,29,9.1031
KHM-ADM3-199,1.932,32.0,5.11,77.5,7,7.6647
KHM-ADM3-200,4.973,44.5,4.006,121.7,26,7.9526
KHM-ADM3-201,3.885,27.0,5.047,106.5,26,8.0072
KHM-ADM3-202,4.182,30.6,4.201,52.4,2,8.1513
KHM-ADM3-203,7.771,69.8,3.526,68.1,15,7.8745
KHM-ADM3-204,3.022,34.4,6.076,63.0,24,8.7765
KHM-ADM3-205,4.939,36.2,4.935,87.8,28,9.0464
KHM-ADM3-206,4.814,47.1,3.577,73.6,23,8.0121
KHM-ADM3-207,3.395,37.3,3.594,50.7,23,8.1093
KHM-ADM3-208,4.521,44.5,3.485,83.4,35,7.5443
KHM-ADM3-209,4.837,26.8,4.219,103.1,32,8.3737
KHM-ADM3-210,4.529,41.9,3.338,78.6,21,7.3637
KHM-ADM3-211,7.115,49.3,2.788,36.2,40,7.1091
KHM-ADM3-212,3.531,14.0,3.494,64.9,37,7.1936
KHM-ADM3-213,4.157,26.0,3.571,84.9,33,7.8889
KHM-ADM3-214,8.012,64.7,1.375,95.1,35,6.143
KHM-ADM3-215,2.329,16.3,4.956,77.5,9,8.3221
KHM-ADM3-216,12.68,94.3,1.797,87.5,32,7.3398
KHM-ADM3-217,0.514,4.9,5.528,114.6,14,8.3572
KHM-ADM3-218,14.566,99.1,-0.073,63.0,20,6.1482
KHM-ADM3-219,0.78,27.4,4.231,46.5,7,7.2207
KHM-ADM3-220,4.537,34.4,5.062,58.1,40,9.8848
KHM-ADM3-221,3.724,27.5,3.747,79.4,17,8.1317
KHM-ADM3-222,11.881,73.9,2.346,86.4,24,7.8433
KHM-ADM3-223,6.456,44.3,2.753,87.4,21,7.581
KHM-ADM3-224,4.437,29.4,4.09,82.6,1,8.1787
KHM-ADM3-225,1.505,14.5,5.667,124.2,1,8.747
KHM-ADM3-226,1.275,6.1,5.395,102.4,39,9.3079
KHM-ADM3-227,5.503,45.4,2.702,49.6,40,7.3066
KHM-ADM3-228,2.498,16.1,3.503,46.8,23,7.5182
KHM-ADM3-229,2.085,17.1,4.129,82.6,36,8.4878
KHM-ADM3-230,6.052,41.4,1.262,101.4,25,6.1389
KHM-ADM3-231,2.017,23.9,2.237,71.7,38,6.5818
KHM-ADM3-232,5.264,65.3,2.801,95.8,25,7.0147
KHM-ADM3-233,10.421,72.5,3.195,64.1,5,8.2007
KHM-ADM3-234,0.643,9.0,4.943,95.4,11,8.8788
KHM-ADM3-235,8.839,65.2,1.645,93.5,28,7.2028
KHM-ADM3-236,7.13,49.0,4.962,78.7,21,9.4741
KHM-ADM3-237,1.246,27.1,5.963,59.4,31,8.8902
KHM-ADM3-238,0.875,15.1,6.131,99.1,6,9.7174
KHM-ADM3-239,4.329,58.4,2.512,66.3,21,6.7729
KHM-ADM3-240,11.502,62.7,3.937,83.8,5,9.2679
KHM-ADM3-241,0.736,39.8,3.364,59.4,15,6.7809
KHM-ADM3-242,3.361,26.3,2.675,89.6,25,6.8878
KHM-ADM3-243,3.017,42.8,4.257,67.9,40,7.4187
KHM-ADM3-244,5.575,47.8,4.923,87.8,28,9.1976
KHM-ADM3-245,1.565,27.1,3.492,73.7,22,7.1538
KHM-ADM3-246,4.88,49.8,3.518,71.1,27,8.3355
KHM-ADM3-247,12.138,85.6,1.826,87.6,34,7.4662
KHM-ADM3-248,6.941,57.6,4.706,102.5,29,8.6268
KHM-ADM3-249,1.176,9.2,6.5,68.2,7,9.8839
KHM-ADM3-250,2.426,36.8,4.211,86.4,40,8.2949
KHM-ADM3-251,2.397,24.8,3.693,81.1,3,8.0753
KHM-ADM3-252,4.341,45.2,4.392,80.4,2,8.1464
KHM-ADM3-253,3.012,27.4,3.216,96.3,14,7.1215
KHM-ADM3-254,2.785,26.0,3.993,59.8,34,8.1383
KHM-ADM3-255,5.873,28.2,2.695,80.2,40,7.2641
KHM-ADM3-256,2.913,21.4,5.103,112.7,21,7.4092
KHM-ADM3-257,7.456,67.2,2.812,48.4,13,7.8157
KHM-ADM3-258,5.185,48.6,1.88,64.5,29,5.9349
KHM-ADM3-259,3.885,32.8,4.05,108.2,22,7.5306
KHM-ADM3-260,3.738,47.1,5.617,120.5,24,9.5964
KHM-ADM3-261,8.047,62.9,4.229,64.8,18,8.9559
KHM-ADM3-262,1.534,21.5,4.684,65.1,7,7.2001
KHM-ADM3-263,10.452,93.4,2.208,73.0,40,7.4772
KHM-ADM3-264,4.838,43.2,4.8,80.6,1,8.2137
KHM-ADM3-265,2.403,28.5,4.43,87.7,34,7.5238
KHM-ADM3-266,3.82,28.7,4.381,61.5,5,7.9278
KHM-ADM3-267,20.063,137.3,0.081,64.5,35,6.8983
KHM-ADM3-268,4.84,39.6,3.983,68.8,7,8.1487
KHM-ADM3-269,2.497,22.0,3.866,88.6,37,7.6317
KHM-ADM3-270,1.488,35.2,3.112,37.7,21,7.6793
KHM-ADM3-271,3.034,40.0,4.359,99.1,5,8.0623
KHM-ADM3-272,4.865,56.7,4.124,61.9,24,7.873
KHM-ADM3-273,3.362,41.6,4.589,75.9,12,8.022
KHM-ADM3-274,2.052,30.2,3.483,96.0,14,7.4831
KHM-ADM3-275,4.74,27.8,4.101,63.6,33,7.8363
KHM-ADM3-276,5.517,45.6,4.362,100.6,23,9.2309
KHM-ADM3-277,6.401,47.9,4.322,75.1,26,8.9024
KHM-ADM3-278,0.919,-1.0,6.533,87.0,29,9.6054
KHM-ADM3-279,3.034,33.7,3.768,108.0,11,7.502
KHM-ADM3-280,11.378,77.0,1.297,43.6,12,6.968
KHM-ADM3-281,2.896,32.5,4.642,64.2,24,8.8505
KHM-ADM3-282,3.517,28.4,5.309,72.1,15,8.5577
KHM-ADM3-283,4.278,34.1,4.54,90.6,40,8.139
KHM-ADM3-284,1.52,18.5,3.619,63.2,8,7.0819
KHM-ADM3-285,4.336,34.8,4.649,119.3,36,7.8775
KHM-ADM3-286,5.813,55.4,3.392,58.9,13,7.3316
KHM-ADM3-287,2.15,24.6,5.241,48.4,1,8.1952
KHM-ADM3-288,1.399,25.0,6.357,81.4,8,9.4153
KHM-ADM3-289,10.867,95.4,2.685,82.2,24,7.6523
KHM-ADM3-290,2.574,22.5,2.617,66.3,31,7.6007
KHM-ADM3-291,2.485,19.6,4.8,82.5,34,8.1821
KHM-ADM3-292,7.072,47.9,3.82,92.1,2,7.6442
KHM-ADM3-293,8.604,69.9,2.712,80.2,3,7.5187
KHM-ADM3-294,1.427,29.0,5.663,77.7,34,8.5311
KHM-ADM3-295,3.061,29.7,5.346,77.9,18,8.1161
KHM-ADM3-296,5.884,58.2,3.392,82.9,9,7.3174
KHM-ADM3-297,4.828,36.4,4.907,82.3,21,8.262
KHM-ADM3-298,3.316,37.3,4.824,71.8,34,8.8512
KHM-ADM3-299,0.641,15.0,5.645,102.4,32,8.8424
KHM-ADM3-300,5.95,62.8,2.796,44.9,35,6.4505
KHM-ADM3-301,3.402,43.9,4.151,69.7,22,7.2218
KHM-ADM3-302,7.673,60.1,2.054,62.7,34,7.0705
KHM-ADM3-303,3.284,36.1,4.511,70.8,3,8.3828
KHM-ADM3-304,5.64,50.0,4.108,66.7,38,8.4713
KHM-ADM3-305,9.166,68.6,3.52,72.7,26,8.1297
KHM-ADM3-306,4.266,36.1,3.368,93.4,18,7.0493
KHM-ADM3-307,1.104,21.1,3.286,73.1,23,7.1999
KHM-ADM3-308,4.098,35.9,5.103,71.4,15,8.3952
KHM-ADM3-309,1.244,10.6,2.809,81.6,18,6.8369
KHM-ADM3-310,1.404,28.9,5.324,82.2,6,8.8072
KHM-ADM3-311,1.932,19.5,3.075,118.6,28,6.5628
KHM-ADM3-312,1.548,18.3,5.245,96.3,21,8.469
KHM-ADM3-313,2.0,27.7,4.083,52.4,37,7.6975
KHM-ADM3-314,1.833,35.9,6.011,87.1,29,9.6472
KHM-ADM3-315,3.804,41.9,4.937,59.9,33,8.2906
KHM-ADM3-316,0.918,25.7,4.127,35.3,25,7.0603
KHM-ADM3-317,1.043,21.9,4.463,91.3,9,8.0576
KHM-ADM3-318,3.449,39.4,5.737,109.0,1,9.2007
KHM-ADM3-319,8.816,61.8,2.973,91.9,25,8.1103
KHM-ADM3-320,3.909,38.4,4.88,97.5,38,8.434
KHM-ADM3-321,3.734,28.6,5.631,70.2,7,9.0824
KHM-ADM3-322,7.424,48.2,1.265,85.3,6,6.0628
KHM-ADM3-323,3.054,25.4,4.099,70.2,27,7.4773
KHM-ADM3-324,7.941,62.9,2.417,79.4,39,7.2077
KHM-ADM3-325,1.414,23.7,4.645,50.5,6,8.1139
KHM-ADM3-326,0.575,28.1,5.103,63.1,36,7.8017
KHM-ADM3-327,4.095,43.0,3.192,88.6,32,7.1735
KHM-ADM3-328,9.26,68.4,3.32,79.0,15,7.8925
KHM-ADM3-329,6.329,73.0,3.452,69.1,12,8.4833
KHM-ADM3-330,1.186,22.6,4.679,71.2,25,7.9979
KHM-ADM3-331,5.087,52.3,3.804,88.5,20,7.6566
KHM-ADM3-332,11.457,76.9,2.76,61.0,19,7.7467
KHM-ADM3-333,12.721,89.9,2.004,76.6,19,7.3298
KHM-ADM3-334,3.232,25.4,4.62,75.5,4,7.7153
KHM-ADM3-335,3.639,42.2,4.799,76.1,32,7.9746
KHM-ADM3-336,7.763,54.8,2.789,60.0,22,7.6033
KHM-ADM3-337,5.397,48.0,2.685,62.3,10,7.585
KHM-ADM3-338,11.433,77.5,1.287,88.3,22,5.931
KHM-ADM3-339,7.284,49.4,4.006,68.3,37,8.4678
KHM-ADM3-340,0.917,19.8,4.059,64.3,36,7.4157
KHM-ADM3-341,4.096,29.8,3.668,86.5,29,7.5378
KHM-ADM3-342,3.083,23.1,4.262,67.1,24,8.628
KHM-ADM3-343,6.514,55.8,1.896,74.2,30,6.4073
KHM-ADM3-344,5.676,39.7,2.113,52.8,5,6.7331
KHM-ADM3-345,0.481,12.8,4.356,41.4,27,7.3837
KHM-ADM3-346,4.679,33.0,3.625,58.5,37,8.7775
KHM-ADM3-347,8.262,70.2,2.803,74.6,24,7.6168
KHM-ADM3-348,7.044,57.9,4.014,71.7,9,8.3541
KHM-ADM3-349,5.2,31.0,5.049,99.0,23,9.366
KHM-ADM3-350,4.709,45.7,4.525,99.3,32,8.0355
KHM-ADM3-351,1.635,32.4,5.705,74.9,18,8.9073
KHM-ADM3-352,9.541,61.5,2.347,80.0,12,7.9566
KHM-ADM3-353,2.46,36.5,4.078,104.2,3,7.3645
KHM-ADM3-354,2.315,30.3,5.279,72.1,4,8.6664
KHM-ADM3-355,4.94,42.6,2.376,81.1,4,7.0576
KHM-ADM3-356,1.882,24.0,4.572,84.0,36,8.1668
KHM-ADM3-357,1.972,27.0,3.702,70.4,40,6.837
KHM-ADM3-358,0.526,3.2,5.728,82.0,29,8.6145
KHM-ADM3-359,6.75,46.1,3.105,71.0,19,8.0669
KHM-ADM3-360,1.687,15.7,2.904,60.5,9,6.5553
KHM-ADM3-361,1.196,15.3,5.058,93.0,34,7.6627
KHM-ADM3-362,2.589,32.9,4.472,93.2,36,7.9519
KHM-ADM3-363,8.405,73.3,3.201,88.5,31,8.0548
KHM-ADM3-364,1.786,24.2,5.115,91.0,29,8.182
KHM-ADM3-365,2.992,28.5,3.645,67.4,29,7.1881
KHM-ADM3-366,2.802,38.7,5.733,57.4,11,8.3845
KHM-ADM3-367,1.432,17.0,5.506,116.2,11,8.8027
KHM-ADM3-368,6.944,55.6,2.952,80.9,1,7.9955
KHM-ADM3-369,5.98,36.3,4.186,68.4,37,8.1113
KHM-ADM3-370,12.67,87.6,2.671,44.2,1,7.5441
KHM-ADM3-371,1.911,22.2,4.821,69.1,3,7.9329
KHM-ADM3-372,4.779,37.6,3.491,60.0,31,7.956
KHM-ADM3-373,8.257,61.7,3.282,87.5,8,7.8923
KHM-ADM3-374,4.07,34.2,2.195,66.4,36,6.4018
KHM-ADM3-375,3.487,38.3,4.246,69.0,23,7.2941
KHM-ADM3-376,3.455,43.2,5.214,66.2,34,8.6715
KHM-ADM3-377,5.026,36.4,3.834,77.7,19,7.7078
KHM-ADM3-378,5.705,40.4,3.256,88.9,7,7.6867
KHM-ADM3-379,3.645,36.2,4.448,73.2,34,8.8284
KHM-ADM3-380,3.983,48.4,4.451,117.7,7,7.6037
KHM-ADM3-381,1.203,22.0,4.635,83.3,22,7.4241
KHM-ADM3-382,2.844,34.4,4.295,72.9,37,8.5337
KHM-ADM3-383,2.089,34.6,4.692,92.0,30,8.0539
KHM-ADM3-384,1.399,-1.9,4.316,76.0,40,7.2977
KHM-ADM3-385,6.672,41.5,2.256,86.6,26,8.5403
KHM-ADM3-386,3.172,33.6,3.551,84.1,18,8.0445
KHM-ADM3-387,6.734,54.7,4.454,89.9,29,7.3562
KHM-ADM3-388,7.508,53.2,3.46,75.2,32,7.7941
KHM-ADM3-389,0.946,22.2,5.927,90.1,8,9.2209
KHM-ADM3-390,2.587,30.5,4.086,58.1,37,7.2704
KHM-ADM3-391,2.878,28.4,2.222,105.7,24,5.321
KHM-ADM3-392,1.75,27.4,6.011,94.8,5,9.5863
KHM-ADM3-393,2.369,28.8,4.064,60.9,28,7.932
KHM-ADM3-394,7.09,52.7,3.696,94.5,3,8.1763
KHM-ADM3-395,1.705,20.6,5.451,101.2,36,9.8235
KHM-ADM3-396,2.306,27.4,4.474,83.4,32,8.6802
KHM-ADM3-397,1.054,27.4,5.247,58.7,30,8.336
KHM-ADM3-398,5.552,45.9,2.561,49.3,4,7.0748
KHM-ADM3-399,6.487,49.7,3.547,71.6,15,8.0168
KHM-ADM3-400,14.09,104.4,0.891,60.9,20,6.7535
KHM-ADM3-401,12.123,91.7,1.145,93.6,28,6.9072
KHM-ADM3-402,9.162,52.1,2.999,75.9,24,7.7001
KHM-ADM3-403,6.039,42.5,3.29,68.9,21,8.0928
KHM-ADM3-404,7.179,59.9,4.558,79.3,7,9.1496
KHM-ADM3-405,5.371,34.6,2.753,97.9,39,7.1456
KHM-ADM3-406,3.013,33.6,3.397,102.5,27,7.0121
KHM-ADM3-407,4.978,38.0,3.897,66.5,23,8.4935
KHM-ADM3-408,1.883,18.1,3.257,63.5,40,7.8156
KHM-ADM3-409,2.544,27.2,4.005,75.8,24,8.1783
