shapeID,shapeName,shapeISO,shapeGroup,shapeType,adm1_name,city,lon,lat,area_km2,dist_cbd_km
VNM-ADM2-006,Hanoi District 6,VNM.6,VNM,ADM2,Ha Noi,Hanoi,105.81101,20.96332,16.95,7.659
VNM-ADM2-007,Hanoi District 7,VNM.7,VNM,ADM2,Ha Noi,Hanoi,105.87264,21.03871,6.75,4.522
VNM-ADM2-008,Hanoi District 8,VNM.8,VNM,ADM2,Ha Noi,Hanoi,105.87861,21.06059,12.51,6.074
VNM-ADM2-009,Hanoi District 9,VNM.9,VNM,ADM2,Ha Noi,Hanoi,105.85451,21.05108,28.21,3.453
VNM-ADM2-010,Hanoi District 10,VNM.10,VNM,ADM2,Ha Noi,Hanoi,105.82478,21.01835,30.73,1.402
VNM-ADM2-011,Hanoi District 11,VNM.11,VNM,ADM2,Ha Noi,Hanoi,105.82237,21.03149,7.7,0.808
VNM-ADM2-012,Hanoi District 12,VNM.12,VNM,ADM2,Ha Noi,Hanoi,105.79418,21.06881,16.8,5.686
VNM-ADM2-013,Hanoi District 13,VNM.13,VNM,ADM2,Ha Noi,Hanoi,105.89704,21.04723,10.86,7.204
VNM-ADM2-014,Hanoi District 14,VNM.14,VNM,ADM2,Ha Noi,Hanoi,105.92644,21.02499,12.16,10.007
VNM-ADM2-015,Hanoi District 15,VNM.15,VNM,ADM2,Ha Noi,Hanoi,105.81947,21.06835,18.33,4.394
VNM-ADM2-016,Hanoi District 16,VNM.16,VNM,ADM2,Ha Noi,Hanoi,105.7907,21.05113,9.86,4.699
VNM-ADM2-017,Hanoi District 17,VNM.17,VNM,ADM2,Ha Noi,Hanoi,105.91382,20.96139,3.96,11.551
VNM-ADM2-018,Hanoi District 18,VNM.18,VNM,ADM2,Ha Noi,Hanoi,105.97013,20.98496,8.61,15.355
VNM-ADM2-019,Hanoi District 19,VNM.19,VNM,ADM2,Ha Noi,Hanoi,105.78376,21.00723,14.83,5.417
VNM-ADM2-020,Hanoi District 20,VNM.20,VNM,ADM2,Ha Noi,Hanoi,105.80771,21.0425,16.33,2.694
VNM-ADM2-021,Hanoi District 21,VNM.21,VNM,ADM2,Ha Noi,Hanoi,105.81241,20.98723,18.06,5.085
VNM-ADM2-022,Hanoi District 22,VNM.22,VNM,ADM2,Ha Noi,Hanoi,105.76989,21.09556,17.48,9.578
VNM-ADM2-023,Hanoi District 23,VNM.23,VNM,ADM2,Ha Noi,Hanoi,105.85813,21.01106,15.86,3.594
VNM-ADM2-024,Hanoi District 24,VNM.24,VNM,ADM2,Ha Noi,Hanoi,105.84553,20.97783,27.63,6.01
VNM-ADM2-025,Hanoi District 25,VNM.25,VNM,ADM2,Ha Noi,Hanoi,105.77192,20.98948,14.47,7.513
VNM-ADM2-026,Hanoi District 26,VNM.26,VNM,ADM2,Ha Noi,Hanoi,105.76535,21.0372,4.86,6.746
VNM-ADM2-027,Hanoi District 27,VNM.27,VNM,ADM2,Ha Noi,Hanoi,105.87948,21.01935,12.59,5.261
VNM-ADM2-028,Hanoi District 28,VNM.28,VNM,ADM2,Ha Noi,Hanoi,105.86851,21.05986,46.15,5.187
VNM-ADM2-029,Hanoi District 29,VNM.29,VNM,ADM2,Ha Noi,Hanoi,105.79742,21.02433,17.3,3.434
VNM-ADM2-030,Hanoi District 30,VNM.30,VNM,ADM2,Ha Noi,Hanoi,105.82835,21.03783,13.0,0.886
UZB-ADM2-001,Tashkent District 1,UZB.1,UZB,ADM2,Toshkent Shahri,Tashkent,69.27508,41.36928,23.33,7.201
UZB-ADM2-002,Tashkent District 2,UZB.2,UZB,ADM2,Toshkent Shahri,Tashkent,69.18873,41.43922,28.27,14.967
UZB-ADM2-003,Tashkent District 3,UZB.3,UZB,ADM2,Toshkent Shahri,Tashkent,69.19712,41.31391,7.09,3.601
UZB-ADM2-004,Tashkent District 4,UZB.4,UZB,ADM2,Toshkent Shahri,Tashkent,69.21475,41.36518,29.4,6.477
UZB-ADM2-005,Tashkent District 5,UZB.5,UZB,ADM2,Toshkent Shahri,Tashkent,69.24229,41.23721,31.52,8.082
UZB-ADM2-006,Tashkent District 6,UZB.6,UZB,ADM2,Toshkent Shahri,Tashkent,69.27016,41.26207,43.43,5.885
UZB-ADM2-007,Tashkent District 7,UZB.7,UZB,ADM2,Toshkent Shahri,Tashkent,69.18144,41.32678,12.27,5.226
UZB-ADM2-008,Tashkent District 8,UZB.8,UZB,ADM2,Toshkent Shahri,Tashkent,69.17039,41.39402,10.26,10.985
UZB-ADM2-009,Tashkent District 9,UZB.9,UZB,ADM2,Toshkent Shahri,Tashkent,69.26758,41.28086,15.77,3.969
UZB-ADM2-010,Tashkent District 10,UZB.10,UZB,ADM2,Toshkent Shahri,Tashkent,69.23266,41.25733,14.08,5.878
UZB-ADM2-011,Tashkent District 11,UZB.11,UZB,ADM2,Toshkent Shahri,Tashkent,69.22165,41.31255,15.3,1.556
UZB-ADM2-012,Tashkent District 12,UZB.12,UZB,ADM2,Toshkent Shahri,Tashkent,69.22222,41.30385,12.33,1.632
KEN-ADM2-001,Nairobi District 1,KEN.1,KEN,ADM2,Nairobi,Nairobi,36.75045,-1.26665,9.21,8.142
KEN-ADM2-002,Nairobi District 2,KEN.2,KEN,ADM2,Nairobi,Nairobi,36.83976,-1.27188,14.39,2.976
KEN-ADM2-003,Nairobi District 3,KEN.3,KEN,ADM2,Nairobi,Nairobi,36.84313,-1.27832,7.77,2.876
KEN-ADM2-004,Nairobi District 4,KEN.4,KEN,ADM2,Nairobi,Nairobi,36.78144,-1.34068,18.96,7.068
KEN-ADM2-005,Nairobi District 5,KEN.5,KEN,ADM2,Nairobi,Nairobi,36.83114,-1.36226,43.13,8.116
KEN-ADM2-006,Nairobi District 6,KEN.6,KEN,ADM2,Nairobi,Nairobi,36.73532,-1.26215,14.77,9.893
KEN-ADM2-007,Nairobi District 7,KEN.7,KEN,ADM2,Nairobi,Nairobi,36.80132,-1.29269,20.53,2.094
KEN-ADM2-008,Nairobi District 8,KEN.8,KEN,ADM2,Nairobi,Nairobi,36.85733,-1.31115,10.9,4.762
KEN-ADM2-009,Nairobi District 9,KEN.9,KEN,ADM2,Nairobi,Nairobi,36.84448,-1.30031,10.95,2.948
KEN-ADM2-010,Nairobi District 10,KEN.10,KEN,ADM2,Nairobi,Nairobi,36.72318,-1.33639,18.39,11.914
KEN-ADM2-011,Nairobi District 11,KEN.11,KEN,ADM2,Nairobi,Nairobi,36.82154,-1.29247,28.52,0.323
KEN-ADM2-012,Nairobi District 12,KEN.12,KEN,ADM2,Nairobi,Nairobi,36.78992,-1.31817,21.49,4.574
KEN-ADM2-013,Nairobi District 13,KEN.13,KEN,ADM2,Nairobi,Nairobi,36.9905,-1.32144,11.86,19.24
KEN-ADM2-014,Nairobi District 14,KEN.14,KEN,ADM2,Nairobi,Nairobi,36.81781,-1.37007,24.96,8.891
KEN-ADM2-015,Nairobi District 15,KEN.15,KEN,ADM2,Nairobi,Nairobi,36.79525,-1.30267,23.25,3.086
KEN-ADM2-016,Nairobi District 16,KEN.16,KEN,ADM2,Nairobi,Nairobi,36.84411,-1.28103,12.26,2.855
KEN-ADM2-017,Nairobi District 17,KEN.17,KEN,ADM2,Nairobi,Nairobi,36.80759,-1.32939,29.95,4.584
USA-ADM2-001,Philadelphia District 1,USA.1,USA,ADM2,Philadelphia,Philadelphia,-75.11699,39.95606,20.72,3.721
USA-ADM2-002,Philadelphia District 2,USA.2,USA,ADM2,Philadelphia,Philadelphia,-75.12326,40.03031,15.15,9.447
USA-ADM2-003,Philadelphia District 3,USA.3,USA,ADM2,Philadelphia,Philadelphia,-75.16868,39.92834,12.06,2.515
USA-ADM2-004,Philadelphia District 4,USA.4,USA,ADM2,Philadelphia,Philadelphia,-75.176,40.01475,18.0,7.315
USA-ADM2-005,Philadelphia District 5,USA.5,USA,ADM2,Philadelphia,Philadelphia,-75.10764,39.93647,36.61,4.702
USA-ADM2-006,Philadelphia District 6,USA.6,USA,ADM2,Philadelphia,Philadelphia,-75.20446,39.93352,16.9,4.202
USA-ADM2-007,Philadelphia District 7,USA.7,USA,ADM2,Philadelphia,Philadelphia,-75.16193,39.87496,35.88,8.331
USA-ADM2-008,Philadelphia District 8,USA.8,USA,ADM2,Philadelphia,Philadelphia,-75.19531,39.90912,14.52,5.442
USA-ADM2-009,Philadelphia District 9,USA.9,USA,ADM2,Philadelphia,Philadelphia,-75.21745,39.90861,16.24,6.709
USA-ADM2-010,Philadelphia District 10,USA.10,USA,ADM2,Philadelphia,Philadelphia,-75.10834,40.0012,18.16,7.185
USA-ADM2-011,Philadelphia District 11,USA.11,USA,ADM2,Philadelphia,Philadelphia,-75.23344,39.97868,17.7,7.013
USA-ADM2-012,Philadelphia District 12,USA.12,USA,ADM2,Philadelphia,Philadelphia,-75.07198,39.84736,20.7,13.635
GBR-ADM2-001,Manchester District 1,GBR.1,GBR,ADM2,Manchester,Manchester,-2.20743,53.4209,13.62,6.904
GBR-ADM2-002,Manchester District 2,GBR.2,GBR,ADM2,Manchester,Manchester,-2.20626,53.48337,11.42,2.26
GBR-ADM2-003,Manchester District 3,GBR.3,GBR,ADM2,Manchester,Manchester,-2.19135,53.47975,6.52,3.214
GBR-ADM2-004,Manchester District 4,GBR.4,GBR,ADM2,Manchester,Manchester,-2.21711,53.5193,14.92,4.617
GBR-ADM2-005,Manchester District 5,GBR.5,GBR,ADM2,Manchester,Manchester,-2.29836,53.50565,13.66,4.792
GBR-ADM2-006,Manchester District 6,GBR.6,GBR,ADM2,Manchester,Manchester,-2.18469,53.44688,17.5,5.183
GBR-ADM2-007,Manchester District 7,GBR.7,GBR,ADM2,Manchester,Manchester,-2.17457,53.51198,8.78,5.593
GBR-ADM2-008,Manchester District 8,GBR.8,GBR,ADM2,Manchester,Manchester,-2.19902,53.57557,6.54,10.948
GBR-ADM2-009,Manchester District 9,GBR.9,GBR,ADM2,Manchester,Manchester,-2.16666,53.41902,8.89,8.324
GBR-ADM2-010,Manchester District 10,GBR.10,GBR,ADM2,Manchester,Manchester,-2.18399,53.44991,23.9,4.984
GBR-ADM2-011,Manchester District 11,GBR.11,GBR,ADM2,Manchester,Manchester,-2.15647,53.47993,29.8,5.518
GBR-ADM2-012,Manchester District 12,GBR.12,GBR,ADM2,Manchester,Manchester,-2.25017,53.47565,31.96,0.827
GBR-ADM2-013,Manchester District 13,GBR.13,GBR,ADM2,Manchester,Manchester,-2.28135,53.51069,26.8,4.366
GBR-ADM2-014,Manchester District 14,GBR.14,GBR,ADM2,Manchester,Manchester,-2.25417,53.47128,6.48,1.346
GBR-ADM2-015,Manchester District 15,GBR.15,GBR,ADM2,Manchester,Manchester,-2.2271,53.44105,26.43,4.407
GBR-ADM2-016,Manchester District 16,GBR.16,GBR,ADM2,Manchester,Manchester,-2.27035,53.45862,24.17,3.107
GBR-ADM2-017,Manchester District 17,GBR.17,GBR,ADM2,Manchester,Manchester,-2.21923,53.53318,10.05,6.06
GBR-ADM2-018,Manchester District 18,GBR.18,GBR,ADM2,Manchester,Manchester,-2.19783,53.42619,15.01,6.591
GBR-ADM2-019,Manchester District 19,GBR.19,GBR,ADM2,Manchester,Manchester,-2.18212,53.51893,11.93,5.77
GBR-ADM2-020,Manchester District 20,GBR.20,GBR,ADM2,Manchester,Manchester,-2.23333,53.47373,18.57,0.824
GBR-ADM2-021,Manchester District 21,GBR.21,GBR,ADM2,Manchester,Manchester,-2.20617,53.49397,14.81,2.72
GBR-ADM2-022,Manchester District 22,GBR.22,GBR,ADM2,Manchester,Manchester,-2.27363,53.49291,22.5,2.644
GBR-ADM2-023,Manchester District 23,GBR.23,GBR,ADM2,Manchester,Manchester,-2.2678,53.55844,19.79,8.898
GBR-ADM2-024,Manchester District 24,GBR.24,GBR,ADM2,Manchester,Manchester,-2.27699,53.50638,18.48,3.814
GBR-ADM2-025,Manchester District 25,GBR.25,GBR,ADM2,Manchester,Manchester,-2.30203,53.455,12.25,4.949
GBR-ADM2-026,Manchester District 26,GBR.26,GBR,ADM2,Manchester,Manchester,-2.16435,53.51909,21.77,6.618
GBR-ADM2-027,Manchester District 27,GBR.27,GBR,ADM2,Manchester,Manchester,-2.237,53.51981,49.28,4.423
GBR-ADM2-028,Manchester District 28,GBR.28,GBR,ADM2,Manchester,Manchester,-2.25542,53.48171,13.72,1.036
GBR-ADM2-029,Manchester District 29,GBR.29,GBR,ADM2,Manchester,Manchester,-2.25013,53.4888,43.57,1.184
GBR-ADM2-030,Manchester District 30,GBR.30,GBR,ADM2,Manchester,Manchester,-2.16535,53.55954,18.78,10.113
GBR-ADM2-031,Manchester District 31,GBR.31,GBR,ADM2,Manchester,Manchester,-2.20068,53.46121,20.74,3.331
GBR-ADM2-032,Manchester District 32,GBR.32,GBR,ADM2,Manchester,Manchester,-2.25278,53.47105,19.45,1.304
