biz_id,city,pre_sales_index,floor_area_m2,dist_road_m,frontage_m,years_open,program,post_sales_index
KHM-B0097,Phnom Penh,109.2,52.6,385.0,3.5,3,0,109.9
KHM-B0098,Phnom Penh,95.2,60.8,274.0,8.1,19,0,107.9
KHM-B0099,Phnom Penh,92.4,31.6,828.0,4.8,18,0,100.4
KHM-B0100,Phnom Penh,117.4,13.0,67.0,5.9,21,1,124.5
KHM-B0101,Phnom Penh,80.2,59.8,357.0,3.7,12,0,82.9
KHM-B0102,Phnom Penh,96.1,46.8,318.0,4.5,28,0,96.8
KHM-B0103,Phnom Penh,113.5,25.1,257.0,6.5,5,1,122.9
KHM-B0104,Phnom Penh,112.5,23.0,1165.0,6.2,8,0,117.0
KHM-B0105,Phnom Penh,102.0,22.2,150.0,2.0,21,1,110.0
KHM-B0106,Phnom Penh,79.8,23.4,667.0,5.6,23,0,87.1
KHM-B0107,Phnom Penh,117.5,35.1,330.0,9.2,27,1,120.1
KHM-B0108,Phnom Penh,108.5,39.6,259.0,8.4,17,1,126.8
KHM-B0109,Phnom Penh,122.7,10.7,481.0,7.9,2,0,128.2
KHM-B0110,Phnom Penh,121.0,26.2,623.0,7.6,6,1,118.9
KHM-B0111,Phnom Penh,78.3,24.0,820.0,5.3,30,0,83.3
KHM-B0112,Phnom Penh,136.4,79.1,92.0,5.1,4,1,144.7
KHM-B0113,Phnom Penh,115.0,15.5,434.0,5.3,19,0,125.4
KHM-B0114,Phnom Penh,104.4,36.4,252.0,6.4,10,1,105.5
KHM-B0115,Phnom Penh,104.7,32.0,411.0,5.5,18,0,101.6
KHM-B0116,Phnom Penh,88.6,26.2,488.0,2.4,21,0,95.3
KHM-B0117,Phnom Penh,107.1,27.1,1471.0,8.8,21,1,127.1
KHM-B0118,Phnom Penh,96.9,33.9,339.0,3.5,5,1,107.6
KHM-B0119,Phnom Penh,97.3,38.9,884.0,4.0,3,0,109.8
KHM-B0120,Phnom Penh,115.9,49.5,128.0,5.3,25,0,119.0
KHM-B0121,Phnom Penh,118.0,60.4,763.0,8.3,28,1,118.3
KHM-B0122,Phnom Penh,96.8,24.9,421.0,8.2,5,0,108.5
KHM-B0123,Phnom Penh,152.3,24.6,254.0,7.3,24,0,147.3
KHM-B0124,Phnom Penh,76.2,47.7,414.0,6.7,26,0,87.3
KHM-B0125,Phnom Penh,65.8,47.5,608.0,4.4,22,0,73.0
KHM-B0126,Phnom Penh,117.8,44.7,299.0,5.1,6,0,121.3
KHM-B0127,Phnom Penh,98.2,22.5,1497.0,6.2,26,0,103.3
KHM-B0128,Phnom Penh,125.6,24.9,165.0,7.5,16,1,127.0
KHM-B0129,Phnom Penh,99.9,48.1,186.0,8.0,1,1,114.2
KHM-B0130,Phnom Penh,94.3,17.1,280.0,11.9,3,1,103.9
KHM-B0131,Phnom Penh,136.0,63.9,217.0,5.4,13,0,124.1
KHM-B0132,Phnom Penh,99.0,30.5,605.0,3.2,20,0,102.8
KHM-B0133,Phnom Penh,74.8,45.0,425.0,5.3,6,0,76.6
KHM-B0134,Phnom Penh,116.3,91.6,181.0,7.6,13,1,125.2
KHM-B0135,Phnom Penh,74.9,25.6,950.0,5.1,9,0,77.3
KHM-B0136,Phnom Penh,155.5,35.8,445.0,7.8,25,1,151.4
KHM-B0137,Phnom Penh,81.6,38.4,154.0,5.4,19,0,89.9
KHM-B0138,Phnom Penh,83.3,15.0,179.0,9.0,17,1,103.8
KHM-B0139,Phnom Penh,105.4,108.3,412.0,7.0,25,1,116.2
KHM-B0140,Phnom Penh,98.3,44.1,408.0,7.2,10,0,102.5
KHM-B0141,Phnom Penh,101.6,43.1,314.0,3.0,28,0,111.7
KHM-B0142,Phnom Penh,108.3,12.0,333.0,5.2,30,0,105.8
KHM-B0143,Phnom Penh,90.8,16.2,805.0,5.8,9,1,97.3
KHM-B0144,Phnom Penh,78.6,43.0,1711.0,6.5,29,0,90.4
KHM-B0145,Phnom Penh,134.5,16.6,382.0,5.6,10,0,133.5
KHM-B0146,Phnom Penh,108.6,40.1,67.0,7.0,21,1,126.0
KHM-B0147,Phnom Penh,69.0,19.2,244.0,4.1,25,1,85.1
KHM-B0148,Phnom Penh,95.7,30.5,425.0,5.2,17,0,99.8
KHM-B0149,Phnom Penh,72.9,34.2,216.0,3.9,21,0,73.7
KHM-B0150,Phnom Penh,97.8,22.7,1223.0,8.1,2,0,102.6
KHM-B0151,Phnom Penh,59.9,22.6,543.0,5.5,24,1,69.3
KHM-B0152,Phnom Penh,100.7,30.2,315.0,2.7,25,0,90.3
KHM-B0153,Phnom Penh,91.0,25.3,1156.0,7.1,8,0,89.5
KHM-B0154,Phnom Penh,79.8,25.8,297.0,2.2,22,0,88.0
KHM-B0155,Phnom Penh,129.7,30.0,200.0,2.8,9,0,119.9
KHM-B0156,Phnom Penh,116.7,32.9,259.0,3.1,1,0,122.1
KHM-B0157,Phnom Penh,93.9,19.2,222.0,4.3,2,0,105.6
KHM-B0158,Phnom Penh,91.4,71.0,187.0,6.8,17,1,104.7
KHM-B0159,Phnom Penh,93.6,28.9,287.0,5.4,19,1,98.3
KHM-B0160,Phnom Penh,115.6,17.9,121.0,8.3,21,0,118.6
KHM-B0161,Phnom Penh,90.0,25.3,773.0,8.9,18,0,94.2
KHM-B0162,Phnom Penh,103.6,46.1,790.0,8.9,8,0,111.6
KHM-B0163,Phnom Penh,111.6,43.2,580.0,6.4,24,0,117.4
KHM-B0164,Phnom Penh,126.8,22.5,193.0,9.9,26,0,136.2
KHM-B0165,Phnom Penh,94.0,22.7,1006.0,4.2,11,0,99.6
KHM-B0166,Phnom Penh,132.4,41.4,241.0,6.9,7,1,125.1
KHM-B0167,Phnom Penh,91.9,65.5,392.0,8.3,11,1,105.0
KHM-B0168,Phnom Penh,92.0,10.0,976.0,12.5,14,0,92.8
KHM-B0169,Phnom Penh,100.2,10.8,328.0,7.8,15,0,97.5
KHM-B0170,Phnom Penh,90.0,32.4,430.0,2.9,17,0,86.7
KHM-B0171,Phnom Penh,119.7,42.4,571.0,4.6,11,0,119.1
KHM-B0172,Phnom Penh,104.1,77.0,154.0,8.2,25,1,117.1
KHM-B0173,Phnom Penh,123.4,25.7,358.0,6.5,17,0,111.9
KHM-B0174,Phnom Penh,119.6,39.0,355.0,2.8,11,0,107.9
KHM-B0175,Phnom Penh,83.5,12.1,598.0,6.8,23,0,90.2
KHM-B0176,Phnom Penh,77.2,13.2,248.0,7.4,28,1,84.8
KHM-B0177,Phnom Penh,109.4,10.8,54.0,6.7,10,0,120.9
KHM-B0178,Phnom Penh,80.9,13.5,514.0,7.3,21,0,90.1
KHM-B0179,Phnom Penh,64.3,30.4,308.0,7.5,4,1,75.2
KHM-B0180,Phnom Penh,120.4,22.2,765.0,6.9,11,0,112.8
KHM-B0181,Phnom Penh,93.7,69.0,379.0,10.0,23,1,114.7
KHM-B0182,Phnom Penh,104.1,39.2,1800.0,5.7,10,0,104.6
KHM-B0183,Phnom Penh,101.4,57.3,171.0,3.1,28,0,97.2
KHM-B0184,Phnom Penh,101.7,31.8,201.0,6.5,27,0,100.3
KHM-B0185,Phnom Penh,103.3,13.3,626.0,7.7,13,1,113.1
KHM-B0186,Phnom Penh,108.4,31.8,433.0,6.9,15,0,103.2
KHM-B0187,Phnom Penh,107.6,41.7,813.0,6.5,22,0,105.2
KHM-B0188,Phnom Penh,159.0,24.6,340.0,7.5,3,1,150.9
KHM-B0189,Phnom Penh,88.1,54.7,619.0,6.2,5,0,91.5
KHM-B0190,Phnom Penh,103.7,26.7,467.0,6.2,7,1,112.7
KHM-B0191,Phnom Penh,75.6,35.6,831.0,2.0,18,0,89.4
KHM-B0192,Phnom Penh,94.8,32.2,1393.0,7.2,1,1,95.6
KHM-B0193,Phnom Penh,95.5,20.9,104.0,7.0,25,1,113.7
KHM-B0194,Phnom Penh,91.1,21.5,929.0,6.2,18,1,98.3
KHM-B0195,Phnom Penh,116.7,25.8,272.0,11.5,2,0,120.7
KHM-B0196,Phnom Penh,89.2,28.4,275.0,3.2,3,0,94.1
KHM-B0197,Phnom Penh,108.5,10.0,205.0,3.2,9,0,109.7
KHM-B0198,Phnom Penh,114.1,62.3,550.0,9.1,16,1,120.2
KHM-B0199,Phnom Penh,120.2,22.7,139.0,3.1,26,1,127.4
KHM-B0200,Phnom Penh,80.6,22.2,320.0,3.2,6,1,92.9
KHM-B0201,Phnom Penh,66.9,49.9,593.0,6.7,19,0,76.3
KHM-B0202,Phnom Penh,139.6,20.1,631.0,4.8,30,0,136.0
KHM-B0203,Phnom Penh,97.2,72.1,367.0,4.4,21,0,99.9
KHM-B0204,Phnom Penh,66.1,40.1,371.0,7.3,21,0,82.4
KHM-B0205,Phnom Penh,42.2,32.7,207.0,7.9,13,0,56.2
KHM-B0206,Phnom Penh,125.4,31.1,270.0,4.8,12,1,121.3
KHM-B0207,Phnom Penh,119.4,31.7,383.0,5.4,14,1,122.9
KHM-B0208,Phnom Penh,127.0,32.6,882.0,9.6,19,0,130.6
KHM-B0209,Phnom Penh,94.6,35.3,878.0,6.9,18,0,100.6
KHM-B0210,Phnom Penh,103.6,23.4,498.0,5.0,17,0,104.0
KHM-B0211,Phnom Penh,97.6,32.8,536.0,7.2,22,0,98.8
KHM-B0212,Phnom Penh,91.5,22.9,232.0,10.5,20,1,101.8
KHM-B0213,Phnom Penh,132.8,42.1,139.0,6.3,19,0,137.5
KHM-B0214,Phnom Penh,103.6,19.5,317.0,6.3,6,0,105.7
KHM-B0215,Phnom Penh,79.1,34.4,361.0,4.3,1,0,82.4
KHM-B0216,Phnom Penh,129.0,20.7,437.0,4.1,11,0,122.8
KHM-B0217,Phnom Penh,72.6,25.5,513.0,9.2,8,0,81.2
KHM-B0218,Phnom Penh,121.5,29.2,291.0,7.1,8,0,122.5
KHM-B0219,Phnom Penh,85.9,44.1,847.0,5.1,14,0,88.3
KHM-B0220,Phnom Penh,74.7,21.9,374.0,7.1,16,0,85.4
KHM-B0221,Phnom Penh,94.8,20.9,80.0,6.4,1,1,105.0
KHM-B0222,Phnom Penh,100.1,31.9,195.0,6.5,26,0,97.3
KHM-B0223,Phnom Penh,84.2,40.3,225.0,4.8,12,0,92.3
KHM-B0224,Phnom Penh,161.8,49.9,562.0,10.2,18,0,147.3
KHM-B0225,Phnom Penh,153.2,21.5,406.0,7.8,20,0,147.3
KHM-B0226,Phnom Penh,95.7,27.6,185.0,4.3,14,0,107.1
KHM-B0227,Phnom Penh,111.1,40.1,1373.0,6.0,21,0,108.8
KHM-B0228,Phnom Penh,112.1,11.8,319.0,3.1,12,0,101.6
KHM-B0229,Phnom Penh,105.3,50.5,135.0,9.4,21,1,114.6
KHM-B0230,Phnom Penh,115.3,26.2,788.0,3.4,28,0,107.7
KHM-B0231,Phnom Penh,82.1,28.0,248.0,2.0,13,0,88.8
KHM-B0232,Phnom Penh,106.2,19.3,602.0,9.5,22,0,103.6
KHM-B0233,Phnom Penh,139.2,127.6,97.0,5.2,20,1,145.6
KHM-B0234,Phnom Penh,94.1,30.5,160.0,2.0,9,0,101.0
KHM-B0235,Phnom Penh,66.4,36.9,101.0,10.2,7,0,73.7
KHM-B0236,Phnom Penh,81.6,24.0,696.0,7.1,25,0,88.2
KHM-B0237,Phnom Penh,94.0,45.9,374.0,4.0,1,0,94.7
KHM-B0238,Phnom Penh,76.6,26.6,205.0,8.0,6,1,91.2
KHM-B0239,Phnom Penh,85.9,19.6,843.0,6.4,14,0,81.3
KHM-B0240,Phnom Penh,116.6,26.5,228.0,8.2,21,1,128.3
KHM-B0241,Phnom Penh,75.4,87.2,371.0,5.2,27,0,79.2
KHM-B0242,Phnom Penh,93.7,26.1,507.0,5.8,29,0,97.1
KHM-B0243,Phnom Penh,110.8,24.6,451.0,6.9,18,1,108.9
KHM-B0244,Phnom Penh,107.4,23.7,757.0,7.1,2,1,117.8
KHM-B0245,Phnom Penh,101.7,30.5,396.0,4.2,4,0,104.4
KHM-B0246,Phnom Penh,110.6,27.0,943.0,6.1,23,0,117.8
KHM-B0247,Phnom Penh,117.6,30.1,514.0,6.7,19,0,118.4
KHM-B0248,Phnom Penh,108.2,65.1,156.0,7.1,20,0,109.7
KHM-B0249,Phnom Penh,74.0,34.4,400.0,2.0,2,0,78.3
KHM-B0250,Phnom Penh,85.7,33.1,343.0,3.8,25,0,92.9
KHM-B0251,Phnom Penh,94.4,30.3,53.0,4.5,3,0,95.0
KHM-B0252,Phnom Penh,128.1,24.8,1030.0,6.0,17,0,120.7
KHM-B0253,Phnom Penh,96.1,53.1,345.0,4.9,3,1,110.3
KHM-B0254,Phnom Penh,131.4,39.9,630.0,5.6,6,0,125.8
KHM-B0255,Phnom Penh,118.7,31.8,109.0,4.1,17,1,124.3
KHM-B0256,Phnom Penh,88.8,18.1,118.0,5.2,22,0,96.7
KHM-B0257,Phnom Penh,86.0,23.4,790.0,7.7,20,0,94.4
KHM-B0258,Phnom Penh,137.2,52.5,211.0,7.8,10,1,142.5
KHM-B0259,Phnom Penh,85.7,20.6,522.0,8.3,9,0,87.2
KHM-B0260,Phnom Penh,101.1,34.2,22.0,4.0,13,0,93.6
KHM-B0261,Phnom Penh,86.8,22.9,1521.0,4.0,8,0,98.1
KHM-B0262,Phnom Penh,57.9,24.6,440.0,9.8,12,0,73.5
KHM-B0263,Phnom Penh,64.8,24.5,298.0,6.1,8,0,79.3
KHM-B0264,Phnom Penh,82.0,37.9,702.0,6.9,12,0,86.9
KHM-B0265,Phnom Penh,83.7,17.6,462.0,7.7,23,0,82.3
KHM-B0266,Phnom Penh,95.6,26.8,359.0,5.5,30,0,99.2
KHM-B0267,Phnom Penh,118.5,39.9,582.0,5.8,18,0,115.2
KHM-B0268,Phnom Penh,140.3,25.2,697.0,4.1,25,1,130.4
KHM-B0269,Phnom Penh,106.1,33.7,1187.0,8.0,4,0,109.4
KHM-B0270,Phnom Penh,110.7,16.2,248.0,4.8,25,0,106.9
KHM-B0271,Phnom Penh,103.9,66.6,154.0,10.8,20,1,119.8
KHM-B0272,Phnom Penh,101.6,11.1,440.0,8.7,15,0,104.9
KHM-B0273,Phnom Penh,118.1,80.1,414.0,7.9,23,1,132.0
KHM-B0274,Phnom Penh,81.1,16.2,1119.0,4.2,2,0,95.3
KHM-B0275,Phnom Penh,109.4,31.8,305.0,4.9,12,0,113.9
KHM-B0276,Phnom Penh,131.6,43.5,891.0,2.0,26,0,133.2
KHM-B0277,Phnom Penh,76.9,54.7,456.0,7.3,6,0,83.4
KHM-B0278,Phnom Penh,101.0,25.8,499.0,5.5,4,0,93.3
KHM-B0279,Phnom Penh,115.6,29.9,373.0,7.9,10,0,112.5
KHM-B0280,Phnom Penh,108.0,61.0,430.0,6.3,17,1,118.8
KHM-B0281,Phnom Penh,72.9,78.8,696.0,6.2,26,0,87.6
KHM-B0282,Phnom Penh,103.9,23.0,130.0,7.5,30,0,102.9
KHM-B0283,Phnom Penh,146.1,23.8,159.0,3.3,29,0,148.1
KHM-B0284,Phnom Penh,76.6,15.5,1275.0,6.2,22,0,90.6
KHM-B0285,Phnom Penh,106.5,37.2,580.0,6.2,9,0,104.2
KHM-B0286,Phnom Penh,117.1,21.4,644.0,7.8,14,0,108.4
KHM-B0287,Phnom Penh,139.1,17.0,669.0,9.6,13,0,129.1
KHM-B0288,Phnom Penh,84.3,37.8,586.0,5.2,9,0,79.9
KHM-B0289,Phnom Penh,96.4,28.7,404.0,8.6,21,0,101.2
KHM-B0290,Phnom Penh,114.4,18.2,371.0,4.7,11,0,102.9
KHM-B0291,Phnom Penh,128.2,32.0,630.0,2.0,8,0,125.3
KHM-B0292,Phnom Penh,109.8,24.8,413.0,4.2,4,0,120.7
KHM-B0293,Phnom Penh,120.7,31.6,914.0,4.8,4,0,126.8
KHM-B0294,Phnom Penh,115.1,126.1,285.0,8.3,13,1,124.0
KHM-B0295,Phnom Penh,81.2,12.6,332.0,7.4,1,1,85.9
KHM-B0296,Phnom Penh,74.5,15.6,223.0,9.8,14,0,78.4
KHM-B0297,Phnom Penh,110.0,37.3,502.0,7.8,22,0,108.8
KHM-B0298,Phnom Penh,126.2,41.9,1131.0,6.8,12,0,128.8
KHM-B0299,Phnom Penh,91.5,40.2,947.0,5.0,21,0,97.1
KHM-B0300,Phnom Penh,86.0,39.7,624.0,7.7,11,0,99.5
KHM-B0301,Phnom Penh,127.4,40.4,386.0,5.9,6,1,134.3
KHM-B0302,Phnom Penh,87.0,35.6,405.0,7.0,8,1,103.0
KHM-B0303,Phnom Penh,124.1,18.8,881.0,3.1,9,0,132.8
KHM-B0304,Phnom Penh,93.7,13.8,595.0,5.7,12,0,103.8
KHM-B0305,Phnom Penh,91.9,25.0,517.0,7.4,15,1,103.5
KHM-B0306,Phnom Penh,72.4,19.3,635.0,5.3,12,0,71.0
KHM-B0307,Phnom Penh,79.1,34.4,299.0,6.5,28,0,75.0
KHM-B0308,Phnom Penh,159.8,32.9,478.0,4.1,13,1,164.7
KHM-B0309,Phnom Penh,101.1,20.7,367.0,5.2,5,0,104.6
KHM-B0310,Phnom Penh,123.9,50.0,96.0,7.7,30,1,136.0
KHM-B0311,Phnom Penh,100.5,45.7,717.0,7.8,15,0,104.5
KHM-B0312,Phnom Penh,130.9,29.4,253.0,8.1,14,0,128.4
KHM-B0313,Phnom Penh,133.1,20.9,69.0,5.6,4,0,126.6
KHM-B0314,Phnom Penh,84.7,29.6,212.0,4.5,20,0,102.5
KHM-B0315,Phnom Penh,106.4,67.8,719.0,7.8,4,1,113.8
KHM-B0316,Phnom Penh,79.2,31.4,778.0,6.6,21,0,77.1
KHM-B0317,Phnom Penh,123.1,13.1,170.0,8.1,29,1,128.6
KHM-B0318,Phnom Penh,144.4,65.2,406.0,6.3,2,1,143.3
KHM-B0319,Phnom Penh,150.6,23.3,574.0,7.1,30,0,147.7
KHM-B0320,Phnom Penh,109.4,40.8,651.0,2.9,22,0,107.2
KHM-B0321,Phnom Penh,66.6,46.4,612.0,5.1,22,0,80.2
KHM-B0322,Phnom Penh,106.5,33.7,381.0,2.0,13,1,113.5
KHM-B0323,Phnom Penh,133.1,26.1,686.0,6.3,19,0,129.3
KHM-B0324,Phnom Penh,118.2,63.5,310.0,7.8,6,0,124.8
KHM-B0325,Phnom Penh,64.5,25.1,259.0,6.7,20,0,76.9
KHM-B0326,Phnom Penh,100.2,39.4,912.0,5.5,7,0,102.4
KHM-B0327,Phnom Penh,85.5,19.1,491.0,12.4,26,0,97.6
KHM-B0328,Phnom Penh,131.2,37.8,339.0,6.6,22,0,129.0
KHM-B0329,Phnom Penh,138.2,24.2,245.0,5.2,25,0,125.2
KHM-B0330,Phnom Penh,86.5,32.2,657.0,6.1,13,1,99.3
KHM-B0331,Phnom Penh,100.9,48.3,880.0,9.1,7,0,103.0
KHM-B0332,Phnom Penh,95.8,52.5,745.0,7.1,20,0,99.3
KHM-B0333,Phnom Penh,110.3,18.1,462.0,11.0,10,0,112.1
KHM-B0334,Phnom Penh,108.2,80.5,590.0,3.0,13,0,106.6
KHM-B0335,Phnom Penh,111.8,33.2,196.0,2.0,15,0,109.4
KHM-B0336,Phnom Penh,80.9,20.9,252.0,6.2,23,0,75.0
KHM-B0337,Phnom Penh,72.9,11.0,312.0,7.0,9,0,82.0
KHM-B0338,Phnom Penh,129.8,18.2,195.0,5.6,7,0,121.3
KHM-B0339,Phnom Penh,134.3,25.4,379.0,4.9,17,0,132.1
KHM-B0340,Phnom Penh,98.8,14.2,290.0,4.0,18,1,100.4
KHM-B0341,Phnom Penh,93.3,19.2,550.0,5.0,4,0,100.0
KHM-B0342,Phnom Penh,109.2,11.3,205.0,5.6,28,0,115.4
KHM-B0343,Phnom Penh,118.7,18.4,1062.0,5.7,20,0,114.2
KHM-B0344,Phnom Penh,81.4,32.8,390.0,7.3,25,0,82.6
KHM-B0345,Phnom Penh,74.2,39.4,84.0,5.4,17,0,92.6
KHM-B0346,Phnom Penh,84.8,33.4,532.0,7.3,15,0,85.6
