hhid,hv001,hv002,hv005,hv009,hv024,hv025,hv201,hv205,hv206,hv270,hv271,serv_1,serv_2,serv_3,sat_1,sat_2,sat_3,ctx_infra_index,y_wellbeing
0009 016,9,16,823099,4,1,1,32,21,0,3,-1035,3,2,3,4,4,4,-1.461,1.558
0009 017,9,17,1001380,10,1,1,11,21,0,1,-178692,2,2,3,3,3,3,-1.461,3.311
0009 018,9,18,968899,4,1,1,31,21,0,2,-83008,3,2,2,4,4,4,-1.461,1.261
0009 019,9,19,1214831,9,1,1,12,12,0,1,-104585,3,3,3,3,2,3,-1.461,1.327
0009 020,9,20,973997,7,1,1,32,31,0,1,-138816,1,3,2,3,3,3,-1.461,3.28
0009 021,9,21,1018112,10,1,1,31,12,0,2,-72849,3,4,4,2,3,3,-1.461,0.371
0009 022,9,22,1111127,3,1,1,11,11,1,2,-84757,3,4,4,4,3,4,-1.461,1.113
0009 023,9,23,868029,4,1,1,11,22,0,3,5154,2,3,3,3,2,3,-1.461,1.333
0009 024,9,24,1003100,2,1,1,21,22,0,2,-86654,3,3,3,4,5,4,-1.461,2.968
0009 025,9,25,1065025,6,1,1,11,22,1,2,-94583,4,4,3,4,4,4,-1.461,2.341
0010 001,10,1,919698,5,1,1,13,12,1,4,95999,3,4,3,3,3,3,1.652,2.9
0010 002,10,2,919767,5,1,1,11,21,0,4,70296,4,4,3,4,5,4,1.652,3.43
0010 003,10,3,1180634,4,1,1,32,12,1,4,77924,4,4,3,3,3,3,1.652,3.496
0010 004,10,4,935643,5,1,1,31,11,0,5,147871,4,4,4,4,4,4,1.652,1.686
0010 005,10,5,988273,4,1,1,32,12,1,5,134841,4,4,5,4,5,5,1.652,2.087
0010 006,10,6,814443,3,1,1,12,12,1,5,110519,4,4,4,5,4,4,1.652,5.325
0010 007,10,7,1312835,2,1,1,12,21,1,4,32570,4,3,4,2,3,3,1.652,4.08
0010 008,10,8,1157852,7,1,1,11,21,1,5,104866,4,5,4,3,4,2,1.652,3.02
0010 009,10,9,1081098,6,1,1,31,21,1,5,176422,5,4,4,4,3,3,1.652,2.971
0010 010,10,10,812924,5,1,1,31,22,0,4,68077,3,3,3,4,4,4,1.652,3.802
0010 011,10,11,846536,7,1,1,12,21,0,3,-24494,4,4,3,4,4,4,1.652,3.78
0010 012,10,12,1139699,7,1,1,32,21,1,5,181628,4,4,4,5,5,4,1.652,3.647
0010 013,10,13,916786,6,1,1,12,12,1,5,107810,5,5,5,4,4,3,1.652,2.277
0010 014,10,14,963302,3,1,1,31,22,1,5,161266,4,3,4,3,3,2,1.652,2.588
0010 015,10,15,978852,3,1,1,12,21,1,4,57690,4,5,4,4,3,4,1.652,2.067
0010 016,10,16,1271136,4,1,1,11,22,0,4,88822,4,4,4,4,3,3,1.652,4.104
0010 017,10,17,903433,3,1,1,31,21,0,2,-92388,4,4,3,3,3,3,1.652,3.926
0010 018,10,18,1082488,9,1,1,12,22,1,5,206644,5,5,4,4,5,4,1.652,3.973
0010 019,10,19,1069866,5,1,1,21,22,0,4,90769,3,3,3,3,4,3,1.652,3.613
0010 020,10,20,839358,6,1,1,21,31,1,5,153866,4,4,4,4,4,4,1.652,3.411
0010 021,10,21,989801,10,1,1,21,22,1,5,242673,3,3,4,3,3,3,1.652,3.54
0010 022,10,22,949462,5,1,1,11,22,1,4,80760,4,4,4,3,3,3,1.652,3.877
0010 023,10,23,829819,8,1,1,31,22,1,4,52557,4,4,4,4,5,5,1.652,1.402
0010 024,10,24,869091,6,1,1,32,22,0,4,39861,4,4,4,4,4,4,1.652,4.297
0010 025,10,25,1156524,7,1,1,31,12,1,4,37146,3,3,4,3,3,3,1.652,4.421
0011 001,11,1,1190536,6,1,1,13,11,0,2,-74794,3,3,3,4,4,4,-0.502,3.76
0011 002,11,2,922956,6,1,1,12,11,0,3,177,4,4,4,2,3,4,-0.502,6.004
0011 003,11,3,1114287,5,1,1,32,12,1,4,56100,4,3,4,2,3,3,-0.502,4.072
0011 004,11,4,1068046,5,1,1,11,21,1,3,-13065,4,4,4,4,4,3,-0.502,1.611
0011 005,11,5,1113935,4,1,1,32,22,1,3,5277,4,3,3,3,2,3,-0.502,4.449
0011 006,11,6,972087,5,1,1,11,31,0,1,-162735,3,3,3,2,2,2,-0.502,2.737
0011 007,11,7,1028190,8,1,1,12,12,0,1,-121422,3,4,3,3,3,2,-0.502,2.493
0011 008,11,8,991193,5,1,1,21,21,0,2,-92960,4,2,2,3,3,4,-0.502,2.48
0011 009,11,9,1110977,7,1,1,11,11,1,3,8025,3,3,3,3,2,2,-0.502,2.934
0011 010,11,10,1147433,3,1,1,31,11,1,4,82147,4,5,5,3,3,4,-0.502,3.079
0011 011,11,11,1086260,7,1,1,32,31,0,4,36296,3,3,3,4,3,3,-0.502,3.406
0011 012,11,12,1068468,8,1,1,13,11,1,3,-21269,3,3,3,3,3,3,-0.502,3.903
0011 013,11,13,1260013,3,1,1,11,31,0,1,-138354,4,4,4,3,2,2,-0.502,2.885
0011 014,11,14,853351,7,1,1,32,21,1,4,80165,4,3,3,3,3,3,-0.502,3.097
0011 015,11,15,1015992,7,1,1,11,21,1,2,-70251,3,4,3,2,2,2,-0.502,2.239
0011 016,11,16,997385,5,1,1,11,12,1,3,19181,4,3,4,2,3,2,-0.502,3.341
0011 017,11,17,830445,6,1,1,11,12,1,2,-75979,4,5,4,4,3,3,-0.502,3.827
0011 018,11,18,1086092,2,1,1,31,31,1,1,-101863,3,3,3,3,3,3,-0.502,1.862
0011 019,11,19,1062659,5,1,1,11,21,1,3,13836,5,4,4,3,4,3,-0.502,4.559
0011 020,11,20,1211005,7,1,1,12,22,1,5,103280,4,4,4,3,3,3,-0.502,1.742
0011 021,11,21,1027073,5,1,1,12,31,1,5,117247,4,4,4,4,4,4,-0.502,3.682
0011 022,11,22,1009504,3,1,1,13,12,1,2,-38663,4,4,3,4,3,3,-0.502,3.93
0011 023,11,23,1066182,7,1,1,12,12,0,3,-14241,4,4,4,3,3,3,-0.502,1.721
0011 024,11,24,801013,6,1,1,11,21,1,3,1649,4,4,3,4,4,3,-0.502,3.102
